id,dailyacres,discoveryacres,temp_2m,temp_2m_max,humidity,rain,wind_speed_2m,wind_speed_2m_max,wind_speed_10m,wind_speed_10m_max,surface_soil_wetness_5cm_below,surface_soil_wetness_to_bedrock,wind_speed_2m_mean,wind_speed_2m_max_mean,wind_speed_10m_mean,wind_speed_10m_max_mean,humidity_mean,temp_2m_mean,rain_sum,dew_frost_point_2m,wet_bulb_temp_2m,relative_humidity,clear_sky_photosynthetically_active_radiation,all_sky_photosynthetically_active_radiation,all_sky_surface_uv_index,sum_rain,sum_snow,land_cover_class
1,5985.9,5.0,24.8,33.19,5.92,0.0,1.76,3.42,2.61,4.52,0.31,0.37,1.9339130434782608,3.914782608695652,2.865217391304348,5.237173913043479,5.6573913043478266,23.39630434782609,12.62,3.02,13.91,27.31,155.74,135.5,2.55,84.37,1.32,489
5,135.0,1.0,22.72,31.95,2.69,0.0,2.65,4.88,3.88,6.57,0.12,0.42,2.026,3.98,2.982,5.186,2.164,21.522,0.0,-6.5,8.11,13.62,97.43,97.5,1.37,10.54,0.0,470
10,132.0,15.0,26.21,35.48,7.57,0.01,1.62,4.3,2.66,6.88,0.29,0.38,1.7000000000000002,3.59,2.8150000000000004,5.65,7.875,25.6,0.16,7.16,16.69,33.44,160.5,160.38,2.82,68.55,0.66,183
12,1.88,1.0,-0.55,3.97,2.14,0.0,0.06,0.1,5.79,7.85,0.63,0.62,0.2566666666666666,0.7666666666666667,3.2466666666666666,4.54,2.686666666666667,1.5,0.0,-9.35,-4.95,51.38,59.11,57.91,0.37,700.02,14.17,163
15,13.0,0.1,22.3,32.4,8.0,0.0,0.16,0.45,1.83,3.48,0.4,0.48,0.146,0.492,1.766,3.176,6.859999999999999,21.058,1.61,8.76,15.53,48.62,142.94,114.08,1.96,295.30999999999995,0.66,301
19,597.8,1.0,2.95,13.23,2.93,0.0,0.43,0.85,2.88,4.37,0.35,0.37,0.5675,1.00375,2.72125,4.1246875,2.795,-2.0153125,57.95,-8.1,-2.57,50.88,91.81,89.71,1.18,200.4,5.28,151
20,14.0,0.3,23.24,30.63,7.51,0.38,2.23,3.47,3.2,4.69,0.35,0.4,2.024117647058824,3.5617647058823527,2.987058823529412,4.948823529411764,8.325882352941177,23.10941176470588,6.68,5.86,14.55,35.31,154.51,139.33,2.79,100.19,0.66,155
22,2.5,0.1,27.02,35.28,8.18,0.01,0.95,1.85,1.8,3.19,0.31,0.41,1.49,2.555,2.525,4.011666666666667,7.376666666666666,27.46,1.35,7.83,17.42,32.5,150.2,131.56,2.67,52.73,0.0,158
24,90.0,80.0,31.69,39.45,7.2,0.0,4.42,7.07,5.88,9.25,0.08,0.37,3.17,5.158333333333333,4.263333333333333,6.491666666666667,6.2250000000000005,30.845,0.03,8.37,20.03,24.81,161.2,160.22,2.71,15.82,0.0,472
32,33.0,0.1,16.77,24.44,7.45,7.66,2.57,6.55,3.62,8.89,0.42,0.52,3.25,6.305,4.484999999999999,8.43,5.800000000000001,12.795,10.76,6.85,11.81,54.5,156.52,82.11,1.52,73.82,0.66,557
35,29570.0,0.1,24.94,33.93,8.61,0.77,1.21,3.23,2.36,6.13,0.25,0.45,1.1353703703703704,1.9735185185185184,2.3822222222222225,3.968518518518519,4.2188888888888885,19.358148148148143,1.6,9.12,17.03,38.5,130.72,89.22,1.73,89.63999999999999,0.66,163
37,3.9,0.1,25.3,34.89,5.31,0.0,0.92,1.46,1.78,3.32,0.24,0.47,1.685,2.77,2.855,4.0825,4.3025,25.9025,0.0,2.1,13.7,25.31,123.98,113.89,1.91,31.64,0.0,460
44,21.0,5.0,11.28,16.9,5.43,0.04,3.24,5.53,5.01,8.11,0.38,0.41,1.87,3.4475,2.9125,5.0675,5.845,12.555,0.1,0.86,6.07,54.19,160.67,137.03,2.67,79.10000000000001,1.32,183
53,3.0,0.1,27.86,34.81,6.96,0.12,2.28,6.1,3.41,8.55,0.27,0.48,3.135,6.08,4.6325,8.345,5.34,23.165,0.12,6.17,17.01,26.38,158.98,88.11,1.8,42.18,0.0,460
54,6.0,1.0,26.26,35.36,8.24,0.93,0.16,0.76,2.48,4.38,0.2,0.46,0.3222222222222222,0.9183333333333334,1.9577777777777776,3.2244444444444444,5.374444444444444,23.32111111111111,1.04,8.87,17.57,36.0,131.32,86.97,1.65,152.93,2.64,163
60,28.0,10.0,3.37,12.15,3.3,0.0,2.53,4.92,3.97,6.35,0.34,0.38,2.91,5.484999999999999,4.365,7.165,2.995,4.655,0.0,-4.89,-0.76,57.06,72.03,70.94,0.7,100.19,1.32,427
62,39.0,0.1,21.83,30.69,3.78,0.0,0.36,1.14,2.38,4.04,0.19,0.46,0.2977419354838709,0.8303225806451613,2.197741935483871,3.540967741935484,3.751827956989248,16.508172043010752,29.19,-2.36,9.74,22.31,144.12,142.84,2.38,152.93,3.3000000000000003,163
71,4.0,0.1,28.19,37.87,5.86,0.0,1.74,2.39,2.85,4.16,0.35,0.41,1.905,2.835,3.055,4.234999999999999,5.86,28.795,0.0,5.22,16.7,27.56,148.5,149.15,2.28,15.82,0.0,474
75,157.9,0.1,20.61,28.87,5.37,0.0,2.54,5.01,3.9,6.78,0.46,0.51,2.342222222222222,4.785555555555556,3.4255555555555555,6.427777777777778,4.984444444444445,21.191111111111116,0.0,2.69,11.65,34.81,156.82,157.67,2.66,42.18,0.0,460
85,32.7,1.0,8.5,17.73,3.72,0.44,3.41,5.21,4.9,6.8,0.27,0.42,2.864,4.746,3.87,6.114,2.428,1.56,3.04,-3.42,2.54,45.5,74.88,58.33,0.73,89.63999999999999,0.66,557
87,381.3,100.0,25.12,34.62,7.63,0.0,1.72,3.06,3.0,4.62,0.58,0.62,1.4799999999999998,2.5766666666666667,2.643333333333333,3.9133333333333336,8.056666666666667,25.316666666666663,0.0,6.83,15.98,37.12,150.1,149.43,2.59,195.12,1.98,489
90,54.86,15.0,22.98,31.4,2.14,0.0,2.67,5.01,3.85,6.48,0.1,0.33,2.0500000000000003,4.1033333333333335,2.9033333333333338,5.423333333333333,4.233333333333333,25.290000000000003,1.58,-9.59,6.69,11.0,145.34,144.47,2.35,79.09,0.66,489
93,2263.0,1.0,16.17,22.46,4.46,0.0,6.7,8.54,9.42,11.87,0.15,0.34,2.6315384615384616,4.611538461538461,3.96,6.293846153846153,2.5746153846153845,18.85153846153846,0.0,-1.27,7.45,34.31,110.59,110.52,1.61,10.54,1.32,470
101,8.99,9.0,20.54,29.05,2.5,0.0,1.19,2.13,3.17,5.28,0.15,0.34,1.1,1.9266666666666663,2.9766666666666666,4.670000000000001,2.7433333333333336,20.81,0.16,-8.63,5.96,14.75,150.75,150.15,2.62,58.010000000000005,1.98,489
115,1.7,1.0,32.57,42.08,6.04,0.06,0.95,1.82,1.63,2.88,0.2,0.48,1.415,2.375,2.255,3.335,7.689999999999999,32.005,0.8,4.39,18.48,18.81,146.41,133.37,2.74,31.64,0.0,460
120,24.75,24.8,21.51,29.9,5.55,0.09,1.84,4.59,3.0,7.7,0.25,0.34,1.9645454545454544,3.5318181818181817,3.409090909090909,5.639545454545455,5.024545454545454,21.50227272727273,2.35,1.12,11.32,30.25,164.73,147.95,3.03,116.01,1.98,155
128,27.0,5.0,35.4,44.71,4.7,0.0,3.21,4.95,4.44,6.2,0.07,0.37,3.242857142857143,5.24,4.414285714285715,6.7871428571428565,7.42,35.84285714285714,0.02,2.22,18.81,14.56,163.28,163.93,3.06,21.1,0.0,556
132,10.5,0.1,8.8,13.65,4.88,3.73,1.11,1.78,4.57,6.66,0.56,0.57,1.035,1.64,4.220000000000001,6.195,5.1850000000000005,7.640000000000001,12.16,0.19,4.5,59.5,147.81,90.99,1.43,147.65,2.64,163
134,103.2,40.0,23.83,31.65,8.42,0.01,2.17,4.29,3.46,5.76,0.45,0.5,1.2925,2.58,2.0025,3.37,7.0325,24.09,0.01,8.19,16.01,41.69,117.19,98.63,1.58,168.75,1.32,557
138,1.4,0.1,31.39,38.8,4.33,0.0,2.44,4.7,3.45,6.17,0.15,0.46,2.405,4.715,3.465,6.2,5.705,31.185,0.0,-0.26,15.57,14.12,163.41,164.33,3.2,42.18,0.0,474
141,4.04,2.0,21.23,30.78,5.07,0.0,1.08,1.91,3.19,4.69,0.21,0.34,0.9133333333333334,1.4733333333333334,2.3466666666666667,3.4333333333333336,5.23,22.46666666666667,0.0,0.32,10.78,28.56,154.34,151.74,2.8,58.010000000000005,1.98,557
