,fire_id,land_cover_class
0,0,474
1,1,489
2,2,187
3,3,557
4,4,462
5,5,470
6,6,187
7,7,189
8,8,582
9,9,148
10,10,183
11,11,183
12,12,163
13,13,187
14,14,474
15,15,301
16,16,55
17,17,472
18,18,579
19,19,151
20,20,155
21,21,187
22,22,158
23,23,557
24,24,472
25,25,158
26,26,489
27,27,183
28,28,44
29,29,187
30,30,489
31,31,44
32,32,557
33,33,472
34,34,489
35,35,163
36,36,556
37,37,460
38,38,484
39,39,187
40,40,315
41,41,459
42,42,55
43,43,489
44,44,183
45,45,183
46,46,582
47,47,183
48,48,47
49,49,562
50,50,582
51,51,316
52,52,557
53,53,460
54,54,163
55,55,158
56,56,158
57,57,491
58,58,48
59,59,315
60,60,427
61,61,472
62,62,163
63,63,457
64,64,187
65,65,484
66,66,474
67,67,461
68,68,472
69,69,489
70,70,472
71,71,474
72,72,149
73,73,303
74,74,183
75,75,460
76,76,476
77,77,149
78,78,49
79,79,490
80,80,489
81,81,48
82,82,47
83,83,557
84,84,472
85,85,557
86,86,151
87,87,489
88,88,582
89,89,162
90,90,489
91,91,489
92,92,557
93,93,470
94,94,187
95,95,582
96,96,474
97,97,491
98,98,158
99,99,484
100,100,457
101,101,489
102,102,489
103,103,556
104,104,183
105,105,315
106,106,316
107,107,472
108,108,582
109,109,557
110,110,550
111,111,158
112,112,278
113,113,358
114,114,496
115,115,460
116,116,582
117,117,470
118,118,158
119,119,583
120,120,155
121,121,556
122,122,489
123,123,156
124,124,488
125,125,497
126,126,187
127,127,158
128,128,556
129,129,187
130,130,158
131,131,187
132,132,163
133,133,158
134,134,557
135,135,187
136,136,358
137,137,485
138,138,474
139,139,158
140,140,158
141,141,557
142,142,495
143,143,187
144,144,183
145,145,557
146,146,474
147,147,158
148,148,141
149,149,472
150,150,175
151,151,476
152,152,316
153,153,460
154,154,489
155,155,460
156,156,187
157,157,491
158,158,489
159,159,187
160,160,162
161,161,583
162,162,474
163,163,472
164,164,460
165,165,470
166,166,474
167,167,302
168,168,497
169,169,460
170,170,556
171,171,316
172,172,317
173,173,158
174,174,186
175,175,472
176,176,49
177,177,187
178,178,187
179,179,575
180,180,187
181,181,472
182,182,470
183,183,149
184,184,444
185,185,460
186,186,187
187,187,489
188,188,149
189,189,582
190,190,556
191,191,460
192,192,491
193,193,187
194,194,158
195,195,182
196,196,460
197,197,490
198,198,189
199,199,489
200,200,158
201,201,187
202,202,300
203,203,489
204,204,489
205,205,183
206,206,158
207,207,556
208,208,158
209,209,151
210,210,460
211,211,187
212,212,187
213,213,282
214,214,583
215,215,474
216,216,148
217,217,457
218,218,49
219,219,460
220,220,49
221,221,472
222,222,183
223,223,557
224,224,158
225,225,159
226,226,187
227,227,484
228,228,187
229,229,159
230,230,491
231,231,489
232,232,316
233,233,299
234,234,149
235,235,55
236,236,158
237,237,187
238,238,46
239,239,470
240,240,163
241,241,474
242,242,474
243,243,163
244,244,302
245,245,158
246,246,141
247,247,491
248,248,158
249,249,582
250,250,470
251,251,187
252,252,187
253,253,158
254,254,491
255,255,49
256,256,470
257,257,158
258,258,488
259,259,300
260,260,158
261,261,187
262,262,470
263,263,304
264,264,158
265,265,472
266,266,187
267,267,187
268,268,185
269,269,47
270,270,498
271,271,158
272,272,182
273,273,489
274,274,491
275,275,158
276,276,484
277,277,460
278,278,316
279,279,163
280,280,158
281,281,557
282,282,582
283,283,186
284,284,158
285,285,187
286,286,489
287,287,158
288,288,489
289,289,472
290,290,187
291,291,489
292,292,490
293,293,158
294,294,158
295,295,556
296,296,460
297,297,301
298,298,444
299,299,474
300,300,556
301,301,358
302,302,148
303,303,162
304,304,56
305,305,316
306,306,183
307,307,488
308,308,470
309,309,48
310,310,489
311,311,49
312,312,557
313,313,159
314,314,489
315,315,484
316,316,187
317,317,460
318,318,489
319,319,158
320,320,443
321,321,162
322,322,155
323,323,158
324,324,137
325,325,189
326,326,556
327,327,472
328,328,186
329,329,460
330,330,490
331,331,557
332,332,582
333,333,489
334,334,484
335,335,489
336,336,158
337,337,145
338,338,187
339,339,159
340,340,158
341,341,183
342,342,460
343,343,162
344,344,358
345,345,159
346,346,457
347,347,490
348,348,579
349,349,474
350,350,470
351,351,158
352,352,158
353,353,557
354,354,187
355,355,151
356,356,158
357,357,49
358,358,186
359,359,187
360,360,48
361,361,162
362,362,41
363,363,489
364,364,489
365,365,159
366,366,158
367,367,163
368,368,557
369,369,548
370,370,162
371,371,158
372,372,556
373,373,159
374,374,358
375,375,187
376,376,358
377,377,187
378,378,489
379,379,158
380,380,582
381,381,55
382,382,158
383,383,556
384,384,187
385,385,472
386,386,158
387,387,474
388,388,158
389,389,158
390,390,358
391,391,557
392,392,474
393,393,155
394,394,474
395,395,497
396,396,472
397,397,556
398,398,582
399,399,557
400,400,149
401,401,542
402,402,490
403,403,187
404,404,163
405,405,472
406,406,315
407,407,489
408,408,158
409,409,557
410,410,474
411,411,158
412,412,556
413,413,47
414,414,158
415,415,460
416,416,582
417,417,489
418,418,474
419,419,472
420,420,474
421,421,358
422,422,302
423,423,0
424,424,491
425,425,489
426,426,489
427,427,42
428,428,470
429,429,472
430,430,490
431,431,187
432,432,149
433,433,476
434,434,472
435,435,158
436,436,460
437,437,489
438,438,556
439,439,187
440,440,488
441,441,460
442,442,156
443,443,48
444,444,557
445,445,460
446,446,489
447,447,472
448,448,472
449,449,47
450,450,556
451,451,557
452,452,162
453,453,462
454,454,460
455,455,498
456,456,158
457,457,557
458,458,556
459,459,474
460,460,162
461,461,460
462,462,557
463,463,141
464,464,474
465,465,489
466,466,489
467,467,557
468,468,183
469,469,358
470,470,579
471,471,582
472,472,187
473,473,472
474,474,489
475,475,44
476,476,148
477,477,158
478,478,582
479,479,151
480,480,557
481,481,443
482,482,474
483,483,189
484,484,49
485,485,316
486,486,489
487,487,162
488,488,187
489,489,162
490,490,582
491,491,472
492,492,472
493,493,158
494,494,457
495,495,474
496,496,46
497,497,581
498,498,183
499,499,484
500,500,175
501,501,316
502,502,489
503,503,491
504,504,582
505,505,556
506,506,472
507,507,579
508,508,489
509,509,557
510,510,460
511,511,156
512,512,141
513,513,474
514,514,162
515,515,457
516,516,444
517,517,175
518,518,461
519,519,158
520,520,148
521,521,460
522,522,47
523,523,187
524,524,158
525,525,557
526,526,460
527,527,186
528,528,477
529,529,187
530,530,183
531,531,186
532,532,457
533,533,158
534,534,187
535,535,187
536,536,470
537,537,484
538,538,491
539,539,579
540,540,303
541,541,581
542,542,49
543,543,474
544,544,472
