fire_id,landcover_class
0,474
1,489
2,187
3,557
4,462
5,470
6,187
7,189
8,582
9,148
10,183
11,183
12,163
13,187
14,474
15,301
16,55
17,472
18,579
19,151
20,155
21,187
22,158
23,557
24,472
25,158
26,489
27,183
28,44
29,187
30,489
31,44
32,557
33,472
34,489
35,163
36,556
37,460
38,484
39,187
40,315
41,459
42,55
43,489
44,183
45,183
46,582
47,183
48,47
49,562
50,582
51,316
52,557
53,460
54,163
55,158
56,158
57,491
58,48
59,315
60,427
61,472
62,163
63,457
64,187
65,484
66,474
67,461
68,472
69,489
70,472
71,474
72,149
73,303
74,183
75,460
76,476
77,149
78,49
79,490
80,489
81,48
82,47
83,557
84,472
85,557
86,151
87,489
88,582
89,162
90,489
91,489
92,557
93,470
94,187
95,582
96,474
97,491
98,158
99,484
100,457
101,489
102,489
103,556
104,183
105,315
106,316
107,472
108,582
109,557
110,550
111,158
112,278
113,358
114,496
115,460
116,582
117,470
118,158
119,583
120,155
121,556
122,489
123,156
124,488
125,497
126,187
127,158
128,556
129,187
130,158
131,187
132,163
133,158
134,557
135,187
136,358
137,485
138,474
139,158
140,158
141,557
142,495
143,187
144,183
145,557
146,474
147,158
148,141
149,472
150,175
151,476
152,316
153,460
154,489
155,460
156,187
157,491
158,489
159,187
160,162
161,583
162,474
163,472
164,460
165,470
166,474
167,302
168,497
169,460
170,556
171,316
172,317
173,158
174,186
175,472
176,49
177,187
178,187
179,575
180,187
181,472
182,470
183,149
184,444
185,460
186,187
187,489
188,149
189,582
190,556
191,460
192,491
193,187
194,158
195,182
196,460
197,490
198,189
199,489
200,158
201,187
202,300
203,489
204,489
205,183
206,158
207,556
208,158
209,151
210,460
211,187
212,187
213,282
214,583
215,474
216,148
217,457
218,49
219,460
220,49
221,472
222,183
223,557
224,158
225,159
226,187
227,484
228,187
229,159
230,491
231,489
232,316
233,299
234,149
235,55
236,158
237,187
238,46
239,470
240,163
241,474
242,474
243,163
244,302
245,158
246,141
247,491
248,158
249,582
250,470
251,187
252,187
253,158
254,491
255,49
256,470
257,158
258,488
259,300
260,158
261,187
262,470
263,304
264,158
265,472
266,187
267,187
268,185
269,47
270,498
271,158
272,182
273,489
274,491
275,158
276,484
277,460
278,316
279,163
280,158
281,557
282,582
283,186
284,158
285,187
286,489
287,158
288,489
289,472
290,187
291,489
292,490
293,158
294,158
295,556
296,460
297,301
298,444
299,474
300,556
301,358
302,148
303,162
304,56
305,316
306,183
307,488
308,470
309,48
310,489
311,49
312,557
313,159
314,489
315,484
316,187
317,460
318,489
319,158
320,443
321,162
322,155
323,158
324,137
325,189
326,556
327,472
328,186
329,460
330,490
331,557
332,582
333,489
334,484
335,489
336,158
337,145
338,187
339,159
340,158
341,183
342,460
343,162
344,358
345,159
346,457
347,490
348,579
349,474
350,470
351,158
352,158
353,557
354,187
355,151
356,158
357,49
358,186
359,187
360,48
361,162
362,41
363,489
364,489
365,159
366,158
367,163
368,557
369,548
370,162
371,158
372,556
373,159
374,358
375,187
376,358
377,187
378,489
379,158
380,582
381,55
382,158
383,556
384,187
385,472
386,158
387,474
388,158
389,158
390,358
391,557
392,474
393,155
394,474
395,497
396,472
397,556
398,582
399,557
400,149
401,542
402,490
403,187
404,163
405,472
406,315
407,489
408,158
409,557
410,474
411,158
412,556
413,47
414,158
415,460
416,582
417,489
418,474
419,472
420,474
421,358
422,302
423,0
424,491
425,489
426,489
427,42
428,470
429,472
430,490
431,187
432,149
433,476
434,472
435,158
436,460
437,489
438,556
439,187
440,488
441,460
442,156
443,48
444,557
445,460
446,489
447,472
448,472
449,47
450,556
451,557
452,162
453,462
454,460
455,498
456,158
457,557
458,556
459,474
460,162
461,460
462,557
463,141
464,474
465,489
466,489
467,557
468,183
469,358
470,579
471,582
472,187
473,472
474,489
475,44
476,148
477,158
478,582
479,151
480,557
481,443
482,474
483,189
484,49
485,316
486,489
487,162
488,187
489,162
490,582
491,472
492,472
493,158
494,457
495,474
496,46
497,581
498,183
499,484
500,175
501,316
502,489
503,491
504,582
505,556
506,472
507,579
508,489
509,557
510,460
511,156
512,141
513,474
514,162
515,457
516,444
517,175
518,461
519,158
520,148
521,460
522,47
523,187
524,158
525,557
526,460
527,186
528,477
529,187
530,183
531,186
532,457
533,158
534,187
535,187
536,470
537,484
538,491
539,579
540,303
541,581
542,49
543,474
544,472
545,158
546,163
547,489
548,460
549,159
550,301
551,556
552,48
553,489
554,46
555,158
556,158
557,151
558,155
559,472
560,493
561,484
562,462
563,316
564,151
565,158
566,472
567,545
568,47
569,460
570,162
571,316
572,158
573,158
574,148
575,579
576,489
577,158
578,187
579,48
580,557
581,472
582,472
583,472
584,489
585,490
586,49
587,458
588,46
589,187
590,302
591,491
592,472
593,470
594,556
595,49
596,503
597,562
598,158
599,316
600,542
601,557
602,474
603,490
604,460
605,490
606,557
607,316
608,472
609,557
610,158
611,42
612,158
613,158
614,316
615,48
616,187
617,316
618,462
619,158
620,557
621,183
622,472
623,187
624,460
625,460
626,158
627,183
628,186
629,557
630,158
631,557
632,497
633,162
634,39
635,158
636,187
637,302
638,148
639,46
640,42
641,158
642,155
643,186
644,46
645,151
646,489
647,583
648,557
649,189
650,497
651,155
652,183
653,472
654,46
655,489
656,489
657,158
658,182
659,557
660,491
661,302
662,158
663,472
664,460
665,189
666,183
667,556
668,48
669,490
670,557
671,489
672,158
673,183
674,48
675,557
676,489
677,187
678,474
679,529
680,557
681,461
682,162
683,489
684,579
685,489
686,556
687,557
688,187
689,48
690,183
691,474
692,461
693,556
694,460
695,582
696,489
697,580
698,474
699,474
700,163
701,477
702,158
703,163
704,187
705,474
706,158
707,187
708,489
709,187
710,158
711,556
712,158
713,158
714,474
715,557
716,489
717,474
718,472
719,474
720,474
721,472
722,582
723,484
724,491
725,583
726,556
727,159
728,48
729,47
730,582
731,557
732,304
733,472
734,496
735,496
736,458
737,158
738,488
739,187
740,484
741,158
742,557
743,174
744,162
745,460
746,158
747,151
749,557
750,489
751,187
752,498
753,189
754,159
755,474
756,158
757,158
758,49
759,301
760,187
761,472
762,155
763,474
764,489
765,187
766,158
767,557
768,488
769,472
770,490
771,158
772,489
773,489
774,484
775,302
776,557
777,472
778,460
779,557
780,316
781,187
782,550
783,316
784,472
785,46
786,358
787,183
788,187
789,472
790,155
791,557
792,488
793,47
794,187
795,489
796,484
797,444
798,158
799,141
800,162
801,145
802,491
803,187
804,556
805,159
806,187
807,189
808,488
809,148
810,439
811,316
812,550
813,187
814,186
815,556
816,187
817,472
818,158
819,302
820,474
821,557
822,44
823,158
824,457
825,148
826,187
827,489
828,316
829,187
830,48
831,316
832,489
833,175
834,557
835,303
836,457
837,158
838,474
839,48
840,46
841,361
842,476
843,358
844,358
845,579
846,571
847,557
848,457
849,542
850,470
851,472
852,557
853,158
854,556
855,316
856,474
857,557
858,474
859,557
860,158
861,323
862,187
863,461
864,568
865,489
866,484
867,474
868,474
869,158
870,484
871,187
872,162
873,187
874,575
875,582
876,158
877,496
878,187
879,49
880,557
881,187
882,186
883,474
884,163
885,470
886,187
887,493
888,304
889,158
890,582
891,162
892,557
893,460
894,489
895,489
896,472
897,484
898,155
899,557
900,491
901,489
902,158
903,163
904,470
905,491
906,579
907,158
908,579
909,187
910,44
911,148
912,186
913,158
914,557
915,489
916,582
917,472
918,460
919,175
920,158
921,582
922,189
923,498
924,472
925,556
926,155
927,474
928,472
929,557
930,542
931,175
932,582
933,489
934,474
935,458
936,489
937,579
938,474
939,581
940,155
941,556
942,148
943,562
944,158
945,557
946,55
947,158
948,498
949,472
950,474
951,194
952,462
953,158
954,460
955,316
956,187
957,460
958,556
959,489
960,488
961,149
962,489
963,472
964,163
965,187
966,470
968,187
969,158
970,187
971,489
972,497
973,460
974,155
975,49
976,316
977,582
978,556
979,489
980,557
981,557
982,148
983,158
984,490
985,489
986,39
987,159
988,490
989,474
990,163
991,582
992,187
993,304
994,187
995,46
996,472
997,472
998,44
999,187
1000,470
1001,162
1002,472
1003,162
1004,159
1005,158
1006,158
1007,162
1008,547
1009,159
1010,162
1011,582
1012,491
1013,470
1014,472
1015,163
1016,187
1017,302
1018,472
1019,266
1020,491
1021,457
1022,557
1023,557
1024,472
1025,181
1026,484
1027,46
1028,472
1029,472
1030,491
1031,489
1032,579
1033,457
1034,472
1035,439
1036,558
1037,498
1038,187
1039,156
1040,472
1041,187
1042,158
1043,187
1044,183
1045,489
1046,550
1047,472
1048,159
1049,529
1050,557
1051,158
1052,163
1053,470
1054,470
1055,561
1056,187
1057,303
1058,472
1059,581
1060,158
1061,489
1062,187
1063,472
1064,580
1065,582
1066,316
1067,557
1068,557
1069,472
1070,490
1071,159
1072,158
1073,187
1074,579
1075,489
1076,187
1077,489
1078,158
1079,158
1080,316
1081,183
1082,474
1083,556
1084,187
1085,141
1086,187
1087,582
1088,470
1089,158
1090,460
1091,158
1092,163
1093,558
1094,581
1095,472
1096,182
1097,562
1098,472
1099,158
1100,175
1101,580
1102,444
1103,489
1104,302
1105,331
1106,491
1107,158
1108,556
1109,472
1110,474
1111,557
1112,472
1113,474
1114,493
1115,187
1116,155
1117,557
1118,491
1119,163
1120,488
1121,159
1122,582
1123,187
1124,472
1125,158
1126,470
1127,491
1128,489
1129,158
1130,488
1131,48
1132,155
1133,187
1134,557
1135,158
1136,484
1137,158
1138,148
1139,187
1140,470
1141,144
1142,187
1143,556
1144,158
1145,44
1146,44
1147,579
1148,316
1149,460
1150,187
1151,557
1152,489
1153,158
1154,474
1155,579
1156,155
1157,158
1158,472
1159,158
1160,549
1161,187
1162,460
1163,48
1164,562
1165,474
1166,444
1167,302
1168,47
1169,557
1170,474
1171,557
1172,175
1173,489
1174,579
1175,491
1176,556
1177,187
1178,183
1179,163
1180,488
1181,158
1182,556
1183,472
1184,460
1185,158
1186,579
1187,457
1188,556
1189,163
1190,582
1191,187
1192,316
1193,148
1194,472
1195,576
1196,470
1197,302
1198,158
1199,156
1200,583
1201,444
1202,489
1203,472
1204,187
1205,151
1206,582
1207,158
1208,557
1209,149
1210,491
1211,158
1212,472
1213,474
1214,49
1215,158
1216,556
1217,187
1218,557
1219,557
1220,489
1221,489
1222,158
1223,472
1224,557
1225,460
1226,316
1227,158
1228,542
1229,582
1230,538
1231,542
1232,158
1233,163
1234,558
1235,158
1236,579
1237,489
1238,315
1239,159
1240,158
1241,484
1242,472
1243,187
1244,48
1245,141
1246,470
1247,316
1248,472
1249,579
1250,187
1251,187
1252,151
1253,472
1254,557
1255,489
1256,557
1257,556
1258,48
1259,159
1260,557
1261,498
1262,461
1263,187
1264,183
1265,484
1266,44
1267,582
1268,582
1269,557
1270,496
1271,316
1272,316
1273,557
1274,152
1275,187
1276,557
1277,457
1278,489
1279,556
1280,472
1281,557
1282,158
1283,470
1284,498
1285,315
1286,582
1287,497
1288,304
1289,460
1290,582
1291,557
1292,46
1293,158
1294,490
1295,162
1296,183
1297,183
1298,583
1299,187
1300,187
1301,484
1302,302
1303,152
1304,491
1305,280
1306,158
1307,158
1308,187
1309,149
1310,472
1311,489
1312,155
1313,304
1314,158
1315,316
1316,163
1317,582
1318,149
1319,187
1320,158
1321,42
1322,187
1323,484
1324,149
1325,582
1326,158
1327,149
1328,557
1329,158
1330,484
1331,304
1332,48
1333,556
1334,46
1335,158
1336,187
1337,489
1338,303
1339,316
1340,148
1341,582
1342,582
1343,158
1344,582
1345,158
1346,472
1347,46
1348,49
1349,187
1350,491
1351,183
1352,183
1353,472
1354,158
1355,556
1356,490
1357,163
1358,489
1359,460
1360,460
1361,151
1362,151
1363,183
1364,145
1365,158
1366,488
1367,155
1368,149
1369,472
1370,316
1371,151
1372,444
1373,155
1374,472
1375,187
1376,474
1377,162
1378,158
1379,472
1380,163
1381,155
1382,470
1383,488
1384,550
1385,557
1386,316
1387,163
1388,151
1389,304
1390,158
1391,187
1392,158
1393,489
1394,158
1395,582
1396,561
1397,489
1398,163
1399,158
1400,163
1401,582
1402,162
1403,323
1404,474
1405,461
1406,557
1407,187
1408,148
1409,187
1410,557
1411,557
1412,163
1413,158
1414,163
1415,489
1416,158
1417,44
1418,151
1419,187
1420,583
1421,144
1422,42
1423,158
1424,460
1425,187
1426,472
1427,580
1428,158
1429,158
1430,162
1431,489
1432,163
1433,489
1434,444
1435,582
1436,491
1437,474
1438,583
1439,472
1440,187
1441,557
1442,493
1443,48
1444,557
1445,491
1446,489
1447,491
1448,489
1449,186
1450,556
1451,144
1452,316
1453,316
1454,489
1455,183
1456,489
1457,529
1458,162
1459,474
1460,489
1461,542
1462,163
1463,444
1464,183
1465,0
1466,183
1467,316
1468,491
1469,158
1470,472
1471,163
1472,158
1473,460
1474,484
1475,144
1476,489
1477,460
1478,183
1479,491
1480,472
1481,484
1482,151
1483,187
1484,582
1485,162
1486,163
1487,187
1488,46
1489,582
1490,158
1491,358
1492,163
1493,158
1494,557
1495,472
1496,47
1497,187
1498,460
1499,48
1500,472
1501,152
1502,158
1503,152
1504,498
1505,460
1506,183
1507,162
1508,489
1509,498
1510,158
1511,159
1512,490
1513,540
1514,470
1515,48
1516,472
1517,158
1518,470
1519,579
1520,583
1521,470
1522,185
1523,562
1524,489
1525,151
1526,158
1527,163
1528,489
1529,158
1530,542
1531,158
1532,156
1533,148
1534,44
1535,163
1536,472
1537,55
1538,550
1539,472
1540,55
1541,582
1542,158
1543,186
1544,557
1545,575
1546,461
1547,498
1548,162
1549,484
1550,474
1551,151
1552,49
1553,159
1554,158
1555,557
1556,187
1557,162
1558,489
1559,186
1560,460
1561,490
1562,148
1563,462
1564,187
1565,47
1566,303
1567,460
1568,472
1569,162
1570,187
1571,162
1572,187
1573,48
1574,158
1575,489
1576,489
1577,490
1578,316
1579,158
1580,141
1581,152
1582,187
1583,151
1584,557
1585,583
1586,489
1587,56
1588,187
1589,561
1590,316
1591,457
1592,556
1593,158
1594,472
1595,485
1596,302
1597,187
1598,557
1599,582
1600,183
1601,457
1602,49
1603,470
1604,183
1605,582
1606,331
1607,187
1608,189
1609,457
1610,158
1611,489
1612,489
1613,162
1614,49
1615,489
1616,476
1617,472
1618,151
1619,162
1620,460
1621,49
1622,158
1623,316
1624,162
1625,557
1626,183
1627,582
1628,158
1629,472
1630,583
1631,489
1632,47
1633,187
1634,582
1635,489
1636,489
1637,158
1638,302
1639,47
1640,187
1641,148
1642,316
1643,489
1644,148
1645,162
1646,183
1647,162
1648,49
1649,444
1650,183
1651,556
1652,187
1653,163
1654,579
1655,158
1656,460
1657,162
1658,489
1659,472
1660,557
1661,149
1662,489
1663,55
1664,444
1665,187
1666,476
1667,148
1668,148
1669,582
1670,557
1671,316
1672,55
1673,470
1674,183
1675,187
1676,443
1677,491
1678,163
1679,49
1680,47
1681,151
1682,474
1683,484
1684,189
1685,557
1686,460
1687,158
1688,489
1689,489
1690,49
1691,158
1692,48
1693,490
1694,498
1695,183
1696,488
1697,48
1698,549
1699,556
1700,557
1701,578
1702,470
1703,163
1704,158
1705,557
1706,581
1707,156
1708,583
1709,489
1710,158
1711,489
1712,472
1713,316
1714,187
1715,557
1716,159
1717,159
1718,472
1719,491
1720,188
1721,158
1722,470
1723,158
1724,302
1725,562
1726,162
1727,474
1728,484
1729,158
1730,187
1731,155
1732,141
1733,163
1734,158
1735,163
1736,474
1737,497
1738,474
1739,461
1740,474
1741,572
1742,498
1743,557
1744,460
1745,489
1746,489
1747,556
1748,158
1749,582
1750,183
1751,472
1752,556
1753,460
