X,Y,ContainmentDateTime,ControlDateTime,DailyAcres,DiscoveryAcres,FireCause,FireDiscoveryDateTime,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,IrwinID,LocalIncidentIdentifier,POOCounty,POODispatchCenterID,POOFips,POOState,UniqueFireIdentifier,total_acres,fire_id
-115.748812463,40.617505716,2020-08-03 23:00:00+00:00,2020-09-02 15:00:00+00:00,5985.9,5.0,Natural,2020-07-19 23:00:00+00:00,WF,FI,40.602563,-115.719777,{91E0CBAB-A24E-4590-B6C6-2B4A46907E8A},010145,Elko,NVEIC,32007,US-NV,2020-NVECFX-010145,5990.9,1
-113.751211511,35.515265291,2020-10-17 21:59:59+00:00,2020-10-19 15:00:00+00:00,135.0,1.0,Human,2020-10-15 18:17:00+00:00,WF,FI,35.40572,-113.7708,{E57E65A4-51C4-44BB-B2C9-B2219E28BEBE},002177,Mohave,AZPDC,04015,US-AZ,2020-AZCRD-002177,136.0,6
-120.073602221,39.769988862,2020-06-24 19:02:00+00:00,2020-06-25 16:05:59+00:00,132.0,15.0,Natural,2020-06-24 00:17:59+00:00,WF,FI,39.78019,-120.1027,{60241FCA-D61E-4D42-8F5E-E316AAE988FB},030327,Lassen,NVSFC,06035,US-CA,2020-NVCCD-030327,147.0,11
-120.772613157,39.361785201,2021-01-20 03:29:00+00:00,2021-01-21 00:57:00+00:00,1.88,1.0,Human,2021-01-19 19:40:00+00:00,WF,FI,39.37291,-120.7704,{4F82FED8-D0CB-46C9-AE88-54097739EC7E},000111,Nevada,CAGVCC,06057,US-CA,2021-CATNF-000111,2.88,13
-122.974080853,41.8259162040001,2020-07-23 17:00:00+00:00,2020-07-26 15:00:00+00:00,13.0,0.1,Human,2020-07-22 19:09:59+00:00,WF,FI,41.825911,-122.974067,{22CB53CB-CA6E-4CD4-B085-5623B8E1B51C},005480,Siskiyou,CAYICC,06093,US-CA,2020-CAKNF-005480,13.1,16
-107.77421052,37.8068059660001,2020-10-27 14:00:00+00:00,2020-11-19 21:00:00+00:00,597.8,1.0,Unknown,2020-10-19 19:31:59+00:00,WF,FI,37.8068,-107.7742,{C57B0DDA-E455-48D4-80F5-D8B026C97487},001214,San Juan,CODRC,08111,US-CO,2020-COSJF-001214,598.8,20
-108.307915295,34.0240623970001,2020-08-08 19:50:59+00:00,2020-08-22 16:09:59+00:00,14.0,0.3,Natural,2020-08-06 19:08:43+00:00,WF,FI,34.04701,-108.3095,{9F4DFE56-1D07-4E6E-AA1C-1F1A6077B0AA},000530,Catron,NMSDC,35003,US-NM,2020-NMGNF-000530,14.3,21
-110.827210845,34.4023353150001,2020-08-15 20:28:00+00:00,2020-08-18 18:53:59+00:00,2.5,0.1,Natural,2020-08-13 19:24:19+00:00,WF,FI,34.44263,-110.8091,{46BC807F-A321-4BB6-A2C0-E23E5EC37A73},000781,Coconino,AZSDC,04005,US-AZ,2020-AZASF-000781,2.6,23
-112.964611195,33.5030250780001,2020-07-01 00:59:59+00:00,2020-07-03 00:59:59+00:00,90.0,80.0,Human,2020-06-28 23:15:00+00:00,WF,FI,33.49935,-112.9559,{BE009FEE-3240-4299-9C2D-09AD63D238D8},001079,Maricopa,AZPDC,04013,US-AZ,2020-AZA4S-001079,170.0,25
-114.011012286,41.6797459640001,2020-06-07 15:00:00+00:00,2020-06-07 17:00:00+00:00,33.0,0.1,Natural,2020-06-06 03:49:00+00:00,WF,FI,41.6717,-113.9535,{6E3FB006-4FC2-489D-A7DF-8BB53F12D252},000223,Box Elder,UTNUC,49003,US-UT,2020-UTSLD-000223,33.1,34
-120.761513279,40.2785252780001,2020-09-08 00:59:59+00:00,2020-10-09 18:59:59+00:00,29570.0,0.1,Natural,2020-08-17 19:20:00+00:00,WF,FI,40.27852,-120.7615,{FB31F965-B88D-4C84-8B88-3241F38187CC},001299,Plumas,CAPNFC,06063,US-CA,2020-CAPNF-001299,29570.1,37
-112.045911089,34.42344525,2020-09-16 02:29:59+00:00,2020-09-18 17:29:59+00:00,3.9,0.1,Human,2020-09-15 23:51:00+00:00,WF,FI,34.40211,-112.0709,{3BBA14A4-88AC-4A22-8372-0A1958382AD9},001970,Yavapai,AZPDC,04025,US-AZ,2020-AZPNF-001970,4.0,39
