ContainmentDateTime,ControlDateTime,DailyAcres,DiscoveryAcres,FireCause,FireDiscoveryDateTime,FireOutDateTime,IncidentTypeKind,InitialLatitude,InitialLongitude,POOState,id
2020/07/23 05:29:59+00,2020/07/23 05:29:59+00,8.0,2.5,Human,2020-07-22 21:51:00+00:00,2020/07/23 14:00:00+00,FI,33.19581,-111.3487,US-AZ,0
2020/08/03 23:00:00+00,2020/09/02 15:00:00+00,5985.9,5.0,Natural,2020-07-19 23:00:00+00:00,2020/10/01 21:00:00+00,FI,40.602563,-115.719777,US-NV,1
,2020/08/06 17:58:00+00,0.1,0.1,Natural,2020-08-06 02:31:04+00:00,2020/08/09 00:00:00+00,FI,41.6825,-122.102917,US-CA,2
2020/08/30 00:00:00+00,2020/09/10 14:00:00+00,0.1,1.0,Natural,2020-08-29 21:46:00+00:00,2020/09/10 15:59:59+00,FI,39.89171,-108.2665,US-CO,3
2020/10/28 20:15:00+00,2020/10/28 20:15:00+00,0.1,0.1,Human,2020-10-28 19:37:00+00:00,2020/10/28 20:15:00+00,FI,40.2277,-109.703169,US-UT,4
2020/07/10 18:14:59+00,2020/07/10 18:14:59+00,0.1,0.1,Human,2020-07-09 16:34:59+00:00,2020/07/10 18:14:59+00,FI,31.9612,-110.3856,US-AZ,5
2020/10/17 21:59:59+00,2020/10/19 15:00:00+00,135.0,1.0,Human,2020-10-15 18:17:00+00:00,2020/10/26 00:59:59+00,FI,35.40572,-113.7708,US-AZ,6
2020/06/20 18:59:59+00,2020/06/20 18:59:59+00,0.1,0.1,Human,2020-06-20 18:49:59+00:00,2020/06/20 18:59:59+00,FI,35.62556,-108.8392,US-NM,7
2020/06/05 18:30:00+00,2020/06/07 18:59:59+00,0.25,0.3,Human,2020-06-05 13:36:00+00:00,2020/06/07 19:05:00+00,FI,36.34147,-106.158237,US-NM,8
2020/11/16 23:29:59+00,2020/11/17 00:04:59+00,0.1,0.1,Human,2020-11-16 23:19:59+00:00,2020/11/17 18:07:00+00,FI,33.35169,-110.4574,US-AZ,9
2020/06/08 00:40:00+00,2020/06/08 00:40:00+00,0.1,0.1,Human,2020-06-07 18:06:00+00:00,2020/06/08 00:40:00+00,FI,37.39361,-108.0689,US-CO,10
2020/06/24 19:02:00+00,2020/06/25 16:05:59+00,132.0,15.0,Natural,2020-06-24 00:17:59+00:00,2020/07/06 23:39:59+00,FI,39.78019,-120.1027,US-CA,11
2020/07/29 20:00:00+00,2020/07/29 20:00:59+00,0.1,0.1,Natural,2020-07-27 20:12:00+00:00,2020/07/29 20:02:00+00,FI,37.24964,-113.2109,US-UT,12
2021/01/20 03:29:00+00,2021/01/21 00:57:00+00,1.88,1.0,Human,2021-01-19 19:40:00+00:00,2021/01/21 21:14:59+00,FI,39.37291,-120.7704,US-CA,13
2020/08/11 21:39:00+00,2020/08/11 23:06:00+00,3.2,2.0,Human,2020-08-11 17:07:59+00:00,2020/08/13 17:29:59+00,FI,39.52572,-110.4248,US-UT,14
2020/03/02 00:17:00+00,2020/03/02 00:17:59+00,0.1,0.1,Unknown,2020-02-29 21:06:00+00:00,2020/03/03 00:17:59+00,FI,34.0356,-112.1447,US-AZ,15
2020/07/23 17:00:00+00,2020/07/26 15:00:00+00,13.0,0.1,Human,2020-07-22 19:09:59+00:00,2020/08/01 18:00:00+00,FI,41.825911,-122.974067,US-CA,16
2020/09/09 22:17:00+00,2020/09/09 22:17:00+00,0.1,0.1,Human,2020-09-09 20:36:59+00:00,2020/09/09 22:17:00+00,FI,42.4721,-123.672583,US-OR,17
2020/07/05 05:15:00+00,2020/07/05 05:15:00+00,0.1,0.1,Human,2020-07-05 04:27:00+00:00,2020/07/05 05:19:59+00,FI,36.47322,-114.4515,US-NV,18
2021/03/07 18:38:00+00,2021/03/09 00:59:59+00,0.5,0.5,Human,2021-03-07 07:08:00+00:00,2021/03/09 00:59:59+00,FI,34.4559,-114.3719,US-AZ,19
2020/10/27 14:00:00+00,2020/11/19 21:00:00+00,597.8,1.0,Unknown,2020-10-19 19:31:59+00:00,2020/12/14 18:00:00+00,FI,37.8068,-107.7742,US-CO,20
2020/08/08 19:50:59+00,2020/08/22 16:09:59+00,14.0,0.3,Natural,2020-08-06 19:08:43+00:00,2020/08/22 16:15:00+00,FI,34.04701,-108.3095,US-NM,21
2020/07/04 23:00:00+00,2020/07/04 23:00:00+00,0.1,0.1,Natural,2020-07-04 21:04:59+00:00,2020/07/04 23:10:00+00,FI,38.26927,-108.6568,US-CO,22
2020/08/15 20:28:00+00,2020/08/18 18:53:59+00,2.5,0.1,Natural,2020-08-13 19:24:19+00:00,2020/08/18 18:55:00+00,FI,34.44263,-110.8091,US-AZ,23
2020/04/29 21:49:00+00,2020/04/29 22:09:59+00,1.3,0.3,Human,2020-04-29 21:17:59+00:00,2020/05/06 17:29:59+00,FI,36.15775,-105.676733,US-NM,24
2020/07/01 00:59:59+00,2020/07/03 00:59:59+00,90.0,80.0,Human,2020-06-28 23:15:00+00:00,2020/07/05 00:59:59+00,FI,33.49935,-112.9559,US-AZ,25
2020/10/24 20:39:00+00,2020/10/24 20:39:59+00,0.1,0.1,Human,2020-10-24 20:32:59+00:00,2020/10/24 20:41:00+00,FI,34.29436,-110.8571,US-AZ,26
2020/08/20 17:42:00+00,2020/08/20 17:42:00+00,0.1,0.1,Human,2020-08-20 16:47:00+00:00,2020/08/20 17:55:59+00,FI,40.327265,-109.671992,US-UT,27
2020/07/31 22:00:53+00,2020/07/31 22:00:53+00,0.3,0.3,Human,2020-07-31 21:29:16+00:00,2020/09/07 18:59:59+00,FI,,,US-AZ,28
2020/10/28 01:25:00+00,2020/10/28 16:17:00+00,0.25,0.1,Unknown,2020-10-28 00:27:00+00:00,2020/11/03 00:00:00+00,FI,39.80232,-120.4874,US-CA,29
2020/11/05 03:27:00+00,2020/11/07 16:49:00+00,0.1,1.0,Human,2020-11-05 00:59:59+00:00,2020/11/07 16:49:00+00,FI,40.81229,-122.3204,US-CA,30
2020/07/11 17:35:00+00,2020/07/11 17:35:00+00,0.25,0.3,Natural,2020-07-11 01:21:00+00:00,2020/07/11 17:35:59+00,FI,34.46555,-110.3728,US-AZ,31
2020/08/23 05:00:00+00,2020/08/23 05:00:00+00,0.1,1.0,Natural,2020-08-23 03:03:00+00:00,2020/09/01 18:00:00+00,FI,39.03732,-112.346,US-UT,32
