sum_rain,sum_snow,DiscoveryAcres,total_acres,temp_2m,temp_2m_max,humidity,rain,wind_speed_2m,wind_speed_2m_max,wind_speed_10m,wind_speed_10m_max,surface_soil_wetness_5cm_below,surface_soil_wetness_to_bedrock,landcover_class
158.2,2.64,5.0,5990.9,24.8,33.19,5.92,0.0,1.76,3.42,2.61,4.52,0.31,0.37,489
10.54,0.0,1.0,136.0,22.72,31.95,2.69,0.0,2.65,4.88,3.88,6.57,0.12,0.42,470
152.93,2.64,15.0,147.0,26.21,35.48,7.57,0.01,1.62,4.3,2.66,6.88,0.29,0.38,183
284.77,7.83,1.0,2.88,-0.55,3.97,2.14,0.0,0.06,0.1,5.79,7.85,0.63,0.62,163
395.5,4.62,0.1,13.1,22.3,32.4,8.0,0.0,0.16,0.45,1.83,3.48,0.4,0.48,301
131.84,3.96,1.0,598.8,2.95,13.23,2.93,0.0,0.43,0.85,2.88,4.37,0.35,0.37,151
131.82999999999998,0.0,0.3,14.3,23.24,30.63,7.51,0.38,2.23,3.47,3.2,4.69,0.35,0.4,155
158.21,0.66,0.1,2.6,27.02,35.28,8.18,0.01,0.95,1.85,1.8,3.19,0.31,0.41,158
131.82999999999998,0.0,80.0,170.0,31.69,39.45,7.2,0.0,4.42,7.07,5.88,9.25,0.08,0.37,472
126.56,1.98,0.1,33.1,16.77,24.44,7.45,7.66,2.57,6.55,3.62,8.89,0.42,0.52,557
131.83,1.98,0.1,29570.1,24.94,33.93,8.61,0.77,1.21,3.23,2.36,6.13,0.25,0.45,163
137.12,0.0,0.1,4.0,25.3,34.89,5.31,0.0,0.92,1.46,1.78,3.32,0.24,0.47,460
158.21,6.6000000000000005,5.0,26.0,11.28,16.9,5.43,0.04,3.24,5.53,5.01,8.11,0.38,0.41,183
184.57,0.0,0.1,3.1,27.86,34.81,6.96,0.12,2.28,6.1,3.41,8.55,0.27,0.48,460
253.12,4.62,1.0,7.0,26.26,35.36,8.24,0.93,0.16,0.76,2.48,4.38,0.2,0.46,163
57.99,1.4400000000000002,10.0,42.7,8.92,16.41,2.87,0.0,4.81,7.42,7.54,11.11,0.24,0.3,48
105.46,0.66,10.0,38.0,3.37,12.15,3.3,0.0,2.53,4.92,3.97,6.35,0.34,0.38,427
268.94,5.93,0.1,39.1,21.83,30.69,3.78,0.0,0.36,1.14,2.38,4.04,0.19,0.46,163
195.11,0.0,0.1,4.1,28.19,37.87,5.86,0.0,1.74,2.39,2.85,4.16,0.35,0.41,474
290.04,0.0,0.1,158.0,20.61,28.87,5.37,0.0,2.54,5.01,3.9,6.78,0.46,0.51,460
73.83,0.0,1.0,33.7,8.5,17.73,3.72,0.44,3.41,5.21,4.9,6.8,0.27,0.42,557
348.04,4.62,100.0,481.3,25.12,34.62,7.63,0.0,1.72,3.06,3.0,4.62,0.58,0.62,489
84.36999999999999,0.66,15.0,69.86,22.98,31.4,2.14,0.0,2.67,5.01,3.85,6.48,0.1,0.33,489
79.08999999999999,1.98,1.0,2264.0,16.17,22.46,4.46,0.0,6.7,8.54,9.42,11.87,0.15,0.34,470
68.53999999999999,1.98,9.0,17.990000000000002,20.54,29.05,2.5,0.0,1.19,2.13,3.17,5.28,0.15,0.34,489
174.03000000000003,0.0,1.0,2.7,32.57,42.08,6.04,0.06,0.95,1.82,1.63,2.88,0.2,0.48,460
63.27999999999999,2.64,24.8,49.55,21.51,29.9,5.55,0.09,1.84,4.59,3.0,7.7,0.25,0.34,155
84.37,0.0,5.0,32.0,35.4,44.71,4.7,0.0,3.21,4.95,4.44,6.2,0.07,0.37,556
421.88,7.92,0.1,10.6,8.8,13.65,4.88,3.73,1.11,1.78,4.57,6.66,0.56,0.57,163
274.22,0.66,40.0,143.2,23.83,31.65,8.42,0.01,2.17,4.29,3.46,5.76,0.45,0.5,557
142.38,0.0,0.1,1.5,31.39,38.8,4.33,0.0,2.44,4.7,3.45,6.17,0.15,0.46,474
68.53999999999999,2.64,2.0,6.04,21.23,30.78,5.07,0.0,1.08,1.91,3.19,4.69,0.21,0.34,557
137.11,1.98,1.0,3227.0,25.49,33.83,6.77,0.83,2.84,4.72,4.95,7.8,0.28,0.37,187
168.74,0.66,3.0,274.0,20.66,30.66,4.64,0.0,2.04,2.89,3.25,3.91,0.39,0.42,557
137.09,0.0,20.0,3162.33,27.04,35.8,5.49,0.0,2.71,4.84,3.92,6.42,0.27,0.38,489
263.66,0.66,1.0,99.0,19.51,28.76,2.99,0.0,2.14,4.28,3.28,6.21,0.34,0.4,460
168.74,1.98,1.0,928.0,25.58,33.85,8.73,2.1,2.85,4.69,4.09,6.36,0.34,0.38,491
58.00999999999999,0.0,1.0,481.0,35.68,44.37,10.25,1.32,2.08,3.66,2.91,5.05,0.2,0.38,474
