DiscoveryAcres,total_acres,temp_2m,temp_2m_max,humidity,rain,wind_speed_2m,wind_speed_2m_max,wind_speed_10m,wind_speed_10m_max,surface_soil_wetness_5cm_below,surface_soil_wetness_to_bedrock,landcover_class
2.5,10.5,32.63,38.06,12.02,0.16,1.26,2.77,1.71,3.84,0.12,0.38,474
5.0,5990.9,24.8,33.19,5.92,0.0,1.76,3.42,2.61,4.52,0.31,0.37,489
1.0,1.1,5.48,16.3,2.56,0.0,1.25,2.98,1.88,4.02,0.17,0.34,557
0.1,0.2,31.5,39.08,8.91,0.26,2.3,4.45,3.26,5.9,0.15,0.36,462
0.1,0.2,22.72,31.95,2.69,0.0,2.65,4.88,3.88,6.57,0.12,0.42,470
1.0,136.0,21.56,30.71,2.5,0.0,2.43,4.73,3.55,6.11,0.15,0.41,187
0.1,0.2,22.37,30.85,5.55,0.06,1.47,3.15,2.57,5.49,0.31,0.35,189
0.3,0.55,15.85,27.79,2.99,0.0,2.45,3.9,4.11,5.8,0.35,0.47,582
0.1,0.2,12.25,19.66,4.7,0.32,3.29,5.8,6.11,10.0,0.39,0.41,148
0.1,0.2,26.21,35.48,7.57,0.01,1.62,4.3,2.66,6.88,0.29,0.38,183
15.0,147.0,28.37,35.6,7.39,1.44,1.83,3.68,2.69,4.77,0.24,0.34,183
0.1,0.2,-0.55,3.97,2.14,0.0,0.06,0.1,5.79,7.85,0.63,0.62,163
1.0,2.88,25.35,33.37,2.75,0.0,2.23,3.34,3.34,4.48,0.11,0.34,187
2.0,5.2,13.4,20.88,3.97,0.0,1.8,3.91,2.73,5.15,0.54,0.54,474
0.1,0.2,22.3,32.4,8.0,0.0,0.16,0.45,1.83,3.48,0.4,0.48,301
0.1,13.1,22.18,34.6,2.2,0.0,0.13,0.57,1.72,2.62,0.17,0.46,55
0.1,0.2,34.27,41.21,4.15,0.0,1.45,2.66,1.92,3.16,0.08,0.39,472
0.1,0.2,19.38,27.29,2.69,0.0,2.45,4.87,3.62,6.25,0.16,0.38,579
0.5,1.0,2.95,13.23,2.93,0.0,0.43,0.85,2.88,4.37,0.35,0.37,151
1.0,598.8,23.24,30.63,7.51,0.38,2.23,3.47,3.2,4.69,0.35,0.4,155
0.3,14.3,22.65,29.4,7.69,1.35,1.36,2.0,2.18,2.94,0.21,0.38,187
0.1,0.2,27.02,35.28,8.18,0.01,0.95,1.85,1.8,3.19,0.31,0.41,158
0.1,2.6,12.97,23.38,4.64,0.0,1.23,2.5,2.54,4.61,0.36,0.39,557
0.3,1.6,31.69,39.45,7.2,0.0,4.42,7.07,5.88,9.25,0.08,0.37,472
80.0,170.0,13.64,19.74,4.82,0.0,2.77,4.27,4.84,7.07,0.22,0.39,158
0.1,0.2,24.48,32.44,7.51,0.04,2.01,3.31,3.02,4.35,0.11,0.39,489
0.1,0.2,9.17,21.62,1.95,0.0,0.51,0.66,2.24,2.51,0.12,0.45,183
0.1,0.35,27.98,37.76,9.28,0.7,1.63,2.74,2.6,3.95,0.3,0.42,187
1.0,1.1,28.34,36.7,8.12,0.17,2.14,4.47,3.23,6.65,0.13,0.37,489
0.3,0.55,3.81,7.03,4.88,8.09,0.08,0.42,2.35,3.21,0.88,0.85,44
1.0,1.1,16.77,24.44,7.45,7.66,2.57,6.55,3.62,8.89,0.42,0.52,557
0.1,0.2,16.51,25.65,2.81,0.0,2.02,4.35,3.0,6.12,0.09,0.36,472
0.1,33.1,11.96,20.0,3.17,0.14,2.66,4.25,4.51,6.04,0.16,0.34,489
0.1,0.2,24.94,33.93,8.61,0.77,1.21,3.23,2.36,6.13,0.25,0.45,163
1.0,1.1,19.87,27.93,2.99,0.0,2.21,3.24,3.47,4.15,0.08,0.42,556
0.1,29570.1,25.3,34.89,5.31,0.0,0.92,1.46,1.78,3.32,0.24,0.47,460
0.3,0.8,21.05,28.01,3.91,0.0,1.34,3.08,1.92,3.74,0.1,0.33,484
0.1,4.0,24.07,32.19,4.52,0.0,0.97,1.58,1.97,3.67,0.15,0.45,187
1.0,1.1,14.37,24.66,4.21,0.33,3.86,7.74,5.94,10.73,0.38,0.42,315
0.1,0.2,17.37,24.82,2.5,0.0,4.66,6.52,6.3,8.39,0.1,0.37,459
0.1,0.3,20.35,29.44,8.42,0.87,1.34,2.48,3.02,5.59,0.31,0.35,489
0.1,0.2,11.28,16.9,5.43,0.04,3.24,5.53,5.01,8.11,0.38,0.41,183
0.1,0.2,11.69,19.31,4.46,0.43,2.16,4.19,3.58,5.53,0.09,0.33,183
0.1,0.2,27.73,38.66,1.95,0.0,2.21,4.16,3.44,6.13,0.13,0.42,582
5.0,26.0,20.75,28.67,8.61,2.52,0.92,1.65,1.89,3.37,0.31,0.42,183
0.1,0.2,21.51,29.73,4.15,0.0,2.02,3.54,3.27,4.85,0.24,0.34,47
0.1,10.1,31.18,38.92,6.35,0.02,2.65,4.14,3.72,5.02,0.11,0.38,562
0.1,0.2,19.19,28.23,2.5,0.0,1.46,2.35,2.17,3.03,0.13,0.37,582
0.1,0.2,11.11,19.67,5.8,0.33,0.23,0.38,2.75,4.22,0.59,0.59,316
0.1,0.2,22.53,30.48,3.85,0.0,1.01,1.7,2.41,3.99,0.13,0.34,557
0.1,0.6,27.86,34.81,6.96,0.12,2.28,6.1,3.41,8.55,0.27,0.48,460
0.1,1.1,26.26,35.36,8.24,0.93,0.16,0.76,2.48,4.38,0.2,0.46,163
0.1,0.2,8.56,16.87,3.3,0.0,2.88,4.97,4.19,6.18,0.37,0.4,158
0.1,3.1,9.05,14.05,6.23,1.1,0.55,0.85,3.67,5.3,0.41,0.42,491
1.0,7.0,8.92,16.41,2.87,0.0,4.81,7.42,7.54,11.11,0.24,0.3,48
0.1,0.2,12.26,21.81,2.75,0.0,1.87,3.23,3.6,5.2,0.42,0.52,315
0.1,0.2,3.37,12.15,3.3,0.0,2.53,4.92,3.97,6.35,0.34,0.38,427
0.1,0.2,21.83,30.69,3.78,0.0,0.36,1.14,2.38,4.04,0.19,0.46,163
10.0,42.7,25.33,33.72,8.42,0.21,1.5,2.34,2.51,4.02,0.3,0.4,187
0.1,0.2,22.68,31.47,4.82,0.0,1.73,3.26,2.56,4.04,0.16,0.34,484
10.0,38.0,23.82,31.69,4.88,0.0,2.56,5.55,3.76,7.5,0.41,0.5,474
