UniqueFireIdentifier,id,sum_rain,sum_snow
2020-NVECFX-010145,1,158.2,2.64
2020-AZCRD-002177,5,10.54,0.0
2020-NVCCD-030327,10,152.93,2.64
2021-CATNF-000111,12,284.77,7.83
2020-CAKNF-005480,15,395.5,4.62
2020-COSJF-001214,19,131.84,3.9600000000000004
2020-NMGNF-000530,20,131.82999999999998,0.0
2020-AZASF-000781,22,158.21,0.66
2020-AZA4S-001079,24,131.82999999999998,0.0
2020-UTSLD-000223,32,126.56,1.98
2020-CAPNF-001299,35,131.83,1.98
2020-AZPNF-001970,37,137.12,0.0
2020-NVHTF-030210,44,158.21,6.6000000000000005
2020-AZSCA-001392,53,184.57,0.0
2020-CAPNF-001311,54,253.12,4.62
2021-NMMEA-000038,58,57.989999999999995,1.4400000000000002
2020-WYKRD-200806,60,105.46,0.66
2020-CAPNF-001217,62,268.94,5.93
2020-AZPHD-000323,71,195.11,0.0
2020-AZSCA-000797,75,290.03999999999996,0.0
2020-UTNWS-001100,85,73.83,0.0
2020-ID1FN-000110,87,348.04,4.62
2020-NVEURX-010217,90,84.36999999999999,0.66
2020-UTSWS-000870,93,79.08999999999999,1.98
2020-UTUOA-100295,101,68.53999999999999,1.98
2020-AZPNF-001626,115,174.03000000000003,0.0
2020-NMSNF-000300,120,63.27999999999999,2.64
2020-AZA4S-001222,128,84.37,0.0
2020-CASHF-000545,132,421.87999999999994,7.92
2020-IDFHA-000164,134,274.22,0.66
2020-AZSCA-001914,138,142.38,0.0
2020-UTUOA-100270,141,68.53999999999999,2.64
2020-COWRD-000166,143,137.11,1.98
2020-UTRID-200157,145,168.74,0.66
2020-NVECFX-010139,154,137.09,0.0
2020-AZA5S-000524,155,263.65999999999997,0.66
2020-NVEKD-010235,157,168.74,1.98
2020-AZA3S-001757,166,58.00999999999999,0.0
2020-UTUWF-001158,178,79.1,0.66
2020-AZASF-000132,180,205.66,0.66
2020-AZSCA-002047,185,142.38,0.0
2020-NMFAD-000151,186,126.55999999999999,1.98
2020-NVHTF-030330,192,253.11999999999998,5.94
2020-OR982S-200349,195,163.47,2.64
2020-AZSCA-002952,196,31.63,0.0
2020-CALPF-003161,202,42.19,0.0
2020-UTCCD-000502,203,79.11,0.66
2020-AZA4S-001300,207,110.74,0.0
2020-UTVLD-100116,211,100.19,2.64
2020-AZPMA-000597,213,200.38,0.0
2020-AZTNF-001097,215,268.94,0.0
2020-CASHF-001144,233,174.02,1.98
2020-ORFWF-200395,246,158.20000000000002,1.98
2020-AZA1S-001979,248,131.82,0.0
2020-UTSLD-000772,254,100.18999999999998,0.66
2020-COGMF-000184,260,158.20999999999998,6.6
2020-AZSCA-002287,269,142.38,0.0
2020-AZA1S-000246,270,305.84999999999997,2.64
2020-AZA1S-000332,271,390.24,2.64
2020-CAPNF-000895,273,89.65,1.32
2020-NMSNF-000323,280,63.27999999999999,2.64
2020-COEAX-000474,286,131.82999999999998,3.3000000000000003
2020-CAMNF-000539,297,147.66,0.0
2020-AZSCA-001013,298,290.03999999999996,0.0
2020-AZCRD-001757,301,110.74,0.0
2020-UTSWS-000224,306,126.56,0.66
2020-AZFTA-000452,319,152.93,0.66
2020-NMNPA-000421,326,110.72999999999999,1.32
2020-AZPHD-001111,329,232.02999999999997,0.0
2020-CANOD-004682,335,131.83,1.98
2020-AZA3S-000379,342,195.12,0.0
2020-AZTNF-002548,390,163.48000000000002,0.0
2020-AZTNF-000554,394,268.94,0.0
2020-AZA4S-001100,396,116.00999999999999,0.0
2020-AZASD-000089,405,200.39,0.0
2020-NVCCD-030631,407,15.82,0.66
2020-AZSCA-002700,415,84.36999999999999,0.0
2020-AZTNF-001405,421,179.29000000000002,0.0
2020-CABDF-011349,422,147.64999999999998,0.0
2020-CASTF-002717,427,84.36999999999999,0.66
2020-IDTFD-000403,430,137.1,0.66
2020-COARF-000485,432,221.48000000000002,5.9399999999999995
2020-AZA3S-001790,436,105.46999999999998,0.0
2020-AZA3S-001906,448,58.00999999999999,0.0
2020-UTNWS-000216,458,168.74,0.66
2020-CAKNF-005725,460,395.5,4.62
2020-AZSCA-000504,461,290.03999999999996,0.0
2020-NVELD-040137,468,47.45,2.64
2020-AZCRA-001305,469,168.75,0.0
2020-COSJD-000416,485,152.92000000000002,9.24
2020-NVWID-020176,486,31.64,0.66
2020-AZA4S-000989,495,210.93,0.0
2020-AZPMA-001234,505,200.38,0.0
2020-AZFTA-000867,510,174.01000000000002,1.32
2020-AZTNF-002600,519,174.03000000000003,1.32
2021-AZSCA-000083,521,79.09,0.68
2020-AZCOF-000672,522,232.02999999999997,0.0
2020-UTSES-000039,527,94.92,1.32
2020-CACDD-012163,528,68.55,0.0
2020-UTSLD-000264,530,121.28999999999999,2.64
2020-COWRD-000169,535,84.37999999999998,1.98
2020-CAANF-003063,540,242.57000000000002,0.0
2020-CASHF-001111,550,363.85999999999996,2.64
2020-COWRD-000118,551,142.39000000000001,4.62
2020-AZGID-000751,554,116.00999999999999,0.0
2020-AZASF-000176,558,253.13000000000002,1.98
2020-AZA3S-000657,559,158.20000000000002,0.0
2020-NMSPA-000144,567,116.02,1.32
2020-AZA3S-000666,569,237.31,0.0
2020-AZCRD-001280,583,89.64,0.0
2020-CAPNF-002116,584,52.73,0.0
2020-CAMDF-000498,585,221.48000000000002,2.64
2020-NMLCD-000458,588,158.19,0.0
2020-AZCRA-001928,597,79.1,0.0
2020-AZTNF-001504,602,179.29000000000002,0.0
2020-ORBUD-002088,603,58.010000000000005,1.32
2020-UTUOA-100006,606,63.269999999999996,4.62
2020-UTNWS-000368,607,242.58,3.3000000000000003
2020-UTSCS-200193,609,79.1,2.64
2020-NMN3S-000073,618,131.84,0.0
2020-UTSLD-000371,621,242.58,3.3000000000000003
2020-AZGID-000636,624,110.75,0.0
2020-AZPHD-001509,625,174.03000000000003,0.0
2020-NMCIF-000279,626,89.66,1.98
2020-NMN1S-000164,631,94.92,0.66
2020-CASNF-001160,634,168.73999999999998,2.64
2020-COLPX-000084,662,195.12,11.219999999999999
2020-CAOVD-030860,676,63.28,1.32
2020-UTBRS-000346,680,205.66000000000003,2.64
2020-IDCAX-000398,685,131.82999999999998,0.0
2020-AZPHD-000400,691,268.94,0.0
2020-AZSCA-000763,698,290.03999999999996,0.0
2020-CALNP-004751,700,226.77,4.62
2020-UTMOD-000292,716,52.739999999999995,0.66
2020-CORTX-000390,731,137.1,5.28
2020-NMGNF-000374,737,168.75,0.0
2020-AZCOF-000942,741,205.66000000000003,0.0
2020-NMN1S-000387,750,105.46,1.98
2020-CATMU-025327,754,158.21,3.96
2020-AZSCA-002603,763,137.1,0.0
2020-COUPD-000100,772,110.72999999999999,2.64
2021-AZSCA-000244,778,68.53999999999999,0.68
2020-AZTNF-002583,785,163.47000000000003,0.0
2021-AZSCA-000275,797,68.53999999999999,0.68
2020-CASHF-000910,800,574.8,7.92
2020-UTCCD-000395,803,84.37,1.32
2020-IDCAX-000378,804,116.00999999999998,0.0
2020-UTSCS-200152,811,121.30000000000001,3.3000000000000003
2020-COMRX-000123,814,105.45999999999998,1.32
2020-AZFTA-000386,823,163.46,0.66
2020-COSJF-000401,825,152.92000000000002,9.24
2020-NVELD-040082,827,68.55,0.66
2020-NVCCD-030547,832,79.1,1.32
2020-NVHTF-030398,841,147.65,3.9600000000000004
2020-IDIFD-000317,846,200.39000000000004,0.66
2020-AZPMA-001293,854,189.85,0.0
2020-AZA4S-000288,856,332.21999999999997,0.66
2020-CANOD-003288,865,116.00999999999999,3.3
2020-AZTNF-003343,867,21.09,0.0
2020-AZTNF-002551,868,121.27999999999999,0.0
2020-AZTNF-000976,883,268.94,0.0
2020-AZSCA-003182,893,31.63,0.0
2020-CANOD-002372,901,110.72999999999999,3.96
2020-CASHF-001084,910,384.96000000000004,4.62
2020-UTSES-000428,911,47.459999999999994,1.32
2020-NMN1S-000145,922,126.55,3.9600000000000004
2020-CASHF-000699,937,564.26,6.6000000000000005
2020-AZPHD-001025,938,210.93,0.0
2020-AZFTA-000301,947,274.21,1.98
2020-UTCCD-000123,949,200.39,0.0
2020-AZSCA-003009,957,31.63,0.0
2020-NVSND-500351,963,147.66,0.0
2020-UTNES-100214,967,36.91,0.0
2020-NVHTF-040023,971,79.1,1.98
2020-AZSCA-000631,973,290.03999999999996,0.0
2020-NMN4S-000036,974,121.29,3.9600000000000004
2020-IDTFD-000198,979,189.84000000000003,1.32
2020-UTUWF-000985,982,121.28,2.64
2020-CASNF-000593,986,279.47999999999996,3.3
2020-AZCOF-001192,995,168.75,0.0
2020-AZTCA-000551,999,84.38,0.66
2021-CAENF-001910,1015,258.39,5.720000000000001
2020-NVLANX-010171,1019,68.56,0.66
2020-CAKNP-000052,1025,216.2,9.9
2020-ORBUD-002108,1031,89.65,1.32
2020-UTRID-200422,1033,63.28,2.64
2020-COJEX-001299,1039,205.64999999999998,5.94
2020-COGMF-000268,1049,110.74000000000001,1.32
2020-AZASD-000845,1053,79.1,0.0
2020-CABDF-020795,1057,42.19,0.0
2020-UTCCD-000250,1061,94.92,1.98
2020-UTSLD-000296,1074,242.58,3.3000000000000003
2020-COUPD-000046,1086,137.1,1.32
2020-NMCAF-000508,1089,84.36999999999999,1.32
2020-IDBOD-000741,1096,152.93,0.66
2020-AZCRD-002151,1109,10.55,0.0
2020-AZA4S-000359,1122,316.4,0.0
2020-NMN5S-000048,1131,179.27999999999997,1.32
2020-NMN6S-000160,1137,100.2,3.3000000000000003
2020-UTMLF-000113,1139,110.72999999999999,2.64
2020-WYSWX-200643,1141,42.17999999999999,1.98
2020-AZFTA-000697,1144,163.48,0.0
2020-UTNES-200498,1148,205.65,9.9
2020-AZCOF-001254,1149,168.75,0.0
2020-AZA5S-001817,1158,110.74,0.0
2020-AZCRA-000304,1164,216.21,0.0
2020-AZSCA-000927,1166,290.03999999999996,0.0
2020-UTFIF-200616,1175,73.83,0.66
2020-AZSCA-002823,1184,84.36999999999999,0.0
2020-COARF-000164,1185,253.11,12.540000000000001
2020-NVELD-040076,1196,79.1,0.0
2020-AZASD-000595,1204,89.64999999999999,2.64
2020-NMCAF-000631,1205,110.74000000000001,1.98
2020-AZSCA-001308,1206,290.03999999999996,0.0
2020-UTBRS-000458,1208,184.57,1.98
2020-UTSWS-000793,1212,79.1,0.0
2020-NMFAD-000326,1217,100.19,0.66
2020-UTMOD-000423,1231,63.279999999999994,0.0
2020-NVTMFX-030475,1237,147.65,3.9600000000000004
2020-COSLX-000141,1247,158.20999999999998,6.6
2020-AZA3S-000176,1257,221.48000000000002,0.0
2020-COSUA-000825,1261,116.02000000000001,2.64
2020-UTSPA-000388,1265,79.11,0.66
2020-UTMLF-000230,1271,63.28,0.66
2020-UTSLD-000925,1277,100.19999999999999,0.66
2020-AZASD-000155,1280,200.39,0.0
2020-UTNWS-000341,1290,242.58,3.3000000000000003
2020-AZA4S-000655,1298,316.4,0.0
2020-AZKNF-000135,1307,390.24,2.64
2020-UTNWS-000666,1315,137.10999999999999,1.32
2020-AZA4S-000401,1317,268.94,0.0
2020-NMGNF-000629,1320,110.73999999999998,0.0
2020-UTUWF-000738,1327,152.92,5.9399999999999995
2020-CACDD-014150,1331,137.11,0.0
2020-CABRR-003298,1351,10.54,0.0
2021-CAENF-001885,1357,290.04,7.51
2020-AZTNF-003265,1360,47.459999999999994,0.0
2020-AZASD-000963,1363,10.54,0.0
2020-CASTF-002877,1377,105.47,2.64
2020-NMVCP-000521,1381,79.1,1.32
2020-CALPF-001329,1389,258.40999999999997,0.0
2020-CORBX-000013,1391,189.85000000000002,4.62
2020-COARF-001048,1394,158.20000000000002,5.28
2020-AZGID-000819,1404,105.46999999999998,0.0
2020-AZGID-000598,1405,126.56,0.0
2020-UTSLD-000375,1410,121.28999999999999,2.64
2020-CAPNF-001302,1414,253.12,4.62
2020-UTNWS-001080,1420,63.28,0.0
2020-AZASF-000779,1429,158.21,0.66
2020-AZSCA-002555,1434,137.1,0.0
2020-AZSCA-000600,1435,290.03999999999996,0.0
2020-AZPHD-000674,1437,253.13,0.0
2020-ID1BN-000331,1445,268.94,1.98
2020-COMFX-000237,1451,68.55,1.98
2020-IDTFD-000269,1456,126.55999999999999,1.32
2020-COGMF-000214,1457,121.28999999999998,1.98
2020-NVECFX-010227,1468,216.22,2.64
2020-AZCOF-001860,1472,52.72,0.0
2020-AZSCA-001106,1473,290.03999999999996,0.0
2020-UTRID-200114,1478,105.47,3.9600000000000004
2020-AZA3S-001351,1488,126.56,0.0
2020-AZPHD-001772,1491,163.47,0.0
2020-AZCOF-001277,1496,174.03000000000003,0.0
2021-UTDIF-000077,1504,42.18,0.51
2020-WYRSD-200624,1508,63.28,3.9600000000000004
2020-NMCAF-000173,1510,110.74000000000001,3.9600000000000004
2020-UTSWS-000307,1516,126.56,0.0
2020-NVHTF-500917,1518,68.56,0.0
2020-CAENF-027219,1527,279.49,4.62
2020-AZCNF-000539,1529,110.74,0.0
2020-CASTF-001740,1548,232.03,6.6
2020-AZKNF-001087,1551,15.82,0.0
2020-NMLNF-000485,1552,131.82999999999998,0.66
2020-CABDF-008797,1566,195.12,0.0
2020-CORBX-000272,1575,116.00999999999999,1.32
2020-CORBX-000017,1584,105.47,3.3000000000000003
2020-UTSLD-000222,1589,184.54999999999998,1.32
2020-AZA3S-002289,1594,5.27,0.0
2021-CAANF-000137,1596,89.65,0.02
2020-UTBRS-000699,1604,100.18999999999998,0.66
2020-UTBRS-000190,1605,253.10999999999999,5.94
2020-CAPNF-001064,1613,226.76,1.98
2020-AZTNF-002044,1620,158.20000000000002,0.0
2020-UTBRS-000713,1631,295.31,2.64
2020-CANOD-003964,1636,68.55999999999999,1.98
2020-COPSF-000262,1655,126.57000000000001,4.62
2020-UTSWS-000730,1670,100.17999999999999,3.9600000000000004
2020-CASRF-001224,1672,300.6,0.0
2020-NVSND-501554,1674,89.65,0.0
2020-UTUOA-100238,1677,137.10999999999999,4.62
2021-AZTNF-000094,1682,63.28,0.3
2020-AZSCA-001176,1686,290.03999999999996,0.0
2020-NMMEA-000198,1692,94.91,0.66
2020-ID1BN-000259,1699,332.21999999999997,1.98
2020-UTUWF-000081,1713,221.48999999999998,6.6
2020-NMN1S-000057,1720,126.55,2.64
2020-NMGNF-000496,1729,168.74,1.32
2020-AZTNF-002028,1736,142.38,0.0
2020-NMN5S-000081,1739,173.99999999999997,1.32
2020-NMN3S-000056,1740,189.85,0.66
2020-NVEURX-020049,1750,115.99999999999999,2.64
2020-AZA4S-000856,1751,168.74,0.0
2020-NVELD-040068,1775,42.17999999999999,1.32
2020-COSUA-000845,1777,89.63999999999999,0.0
2020-AZA4S-001066,1779,210.93,0.0
2020-COWRD-000172,1780,84.37999999999998,1.98
2021-AZSCA-000033,1789,79.09,0.68
2020-AZASF-000495,1792,232.03,1.98
2020-AZKNF-000812,1804,105.46,1.32
2020-AZPHD-001646,1807,163.47000000000003,0.0
2020-AZCNF-000235,1808,200.39000000000001,0.0
2020-AZSCA-001147,1815,290.03999999999996,0.0
2020-NMLCD-000234,1818,63.269999999999996,0.0
2020-CALPF-001155,1822,353.32000000000005,0.0
2020-AZCOF-000167,1829,210.94000000000003,0.0
2020-NVHTF-030684,1831,116.02,3.3000000000000003
2020-CACDD-008157,1839,116.02,0.0
2020-AZPMA-000436,1840,189.85,0.0
2020-AZA4S-002291,1843,21.09,0.0
2020-CANOD-003304,1850,110.74999999999999,3.3
2020-UTSWS-000807,1858,79.1,0.0
2020-UTCCD-000452,1864,89.65,0.0
2020-AZA3S-000368,1868,158.20000000000002,0.0
2020-UTNWS-000938,1871,89.63999999999999,0.0
2020-NMCIF-000327,1875,89.64999999999999,1.98
2020-COMFX-000143,1878,300.56999999999994,5.28
2020-UTCCD-000912,1903,21.1,0.0
2020-NMGNF-000296,1912,79.1,0.0
2020-UTSCS-200486,1914,63.28,1.98
2020-AZA3S-001474,1929,121.28,0.0
2020-NMN1S-000622,1932,105.45999999999998,1.98
2020-AZSCA-002483,1933,105.46999999999998,0.0
2020-UTNWS-000451,1937,152.91,1.32
2020-AZA4S-001650,1945,137.1,0.0
2020-CABDF-019155,1948,5.27,0.0
2020-NVEKD-010185,1952,89.63,0.0
2020-UTMLF-000218,1954,63.28999999999999,0.66
2020-AZA3S-000525,1972,242.58,0.0
2020-AZSRA-001661,1983,168.74,0.0
2020-UTSCS-200554,1986,105.46,0.0
2020-NMN5S-000045,1988,205.64,1.32
2020-NMCIF-000408,2002,84.38,1.98
2020-NMCIF-000361,2004,73.83,1.32
2020-UTMOD-000041,2008,84.38000000000001,3.3
2020-UTNWS-000903,2011,100.19999999999999,0.66
2020-AZA3S-000310,2012,237.31,0.0
2020-CAENF-032344,2019,131.82999999999998,0.66
2020-COGWD-000322,2020,158.20000000000002,3.96
2020-UTCCD-000093,2021,205.66,9.9
2020-UTNWS-000455,2026,184.57000000000002,2.64
2020-UTNWS-000463,2027,126.55,0.66
2020-UTCCD-000429,2029,89.64,1.98
2020-CASLU-009866,2032,147.65,0.0
2020-WYMRF-000353,2037,137.1,5.28
2020-AZPMA-002711,2041,73.83,0.0
2020-AZCOF-001293,2043,105.46,1.32
2020-NVCCD-030483,2044,147.65,3.9600000000000004
2020-UTMOD-000211,2050,63.279999999999994,0.0
2020-ORFWF-200406,2051,158.20000000000002,1.98
2020-AZASD-000727,2054,89.64999999999999,0.0
2020-AZASD-000538,2065,89.64999999999999,0.0
2020-AZSCA-000641,2077,290.03999999999996,0.0
2020-AZA4S-000573,2078,200.38,0.0
2020-AZTNF-001830,2086,168.75000000000003,1.32
2020-CALPF-001476,2092,316.41,0.0
2020-NVELD-040114,2093,73.82,0.66
2020-IDIFD-000161,2094,158.2,0.66
2020-UTNWS-000522,2097,184.57,4.62
2020-NVMFRX-501822,2106,0.0,0.0
2020-AZPNF-001773,2107,174.03000000000003,0.0
2020-AZTNF-001233,2121,332.21999999999997,0.66
2020-NVCCD-030406,2136,68.55,0.66
2020-NVDSR-500835,2142,73.83,0.0
2020-NVCCD-030331,2148,152.93,2.64
2020-UTSES-000167,2150,63.279999999999994,0.0
2021-AZPNF-000047,2153,110.74,0.55
2020-UTSCS-200539,2154,79.11,1.98
2020-AZTNF-002638,2176,163.48000000000002,0.0
2020-WYMRF-000408,2177,158.19,4.62
2020-CAINF-002140,2179,116.02,1.98
2020-CABDF-009765,2188,137.11,0.0
2021-UTBRS-000044,2196,116.02000000000001,3.37
2020-UTSWS-000753,2207,100.18999999999998,0.0
2020-NVSND-501550,2214,52.73,0.0
2020-AZPHD-001638,2227,163.47000000000003,0.0
2020-NMSNF-000455,2230,100.18999999999998,1.32
2020-NVELD-040058,2232,58.0,3.3000000000000003
2020-AZA3S-000323,2242,158.20000000000002,0.0
2020-AZPMA-000952,2243,189.85,0.0
2020-AZTNF-001778,2247,221.48,0.0
2020-CALNF-004290,2251,226.77,4.62
2020-UTDIF-000697,2253,94.91,1.98
2020-NVTMFX-030352,2258,253.11999999999998,5.94
2020-UTUWF-000650,2261,189.83,1.98
2020-AZA4S-001011,2264,189.84,0.0
2020-NMN1S-000035,2265,126.56,1.32
2020-IDBOD-000489,2266,216.21,1.32
2020-AZSCA-002951,2270,31.63,0.0
2020-COWRF-000044,2274,237.31,7.920000000000001
2020-COKRD-000211,2277,268.92999999999995,8.58
2020-UTSWS-000431,2281,94.91999999999999,0.0
2020-AZPPA-000465,2282,121.28,0.0
2020-AZPMA-000643,2289,189.85,0.0
2020-NVELD-040196,2295,26.36,0.66
2020-NVCCD-030866,2296,21.09,0.0
2020-AZSCA-002673,2298,105.46999999999998,0.0
2020-NMN3S-000585,2305,110.74,0.0
2020-AZFTA-000897,2319,174.01000000000002,1.32
2020-AZA5S-001807,2337,163.47,0.0
2020-COMNX-000698,2338,100.17999999999999,1.32
2020-AZCOF-001410,2339,174.03000000000003,1.32
2020-UTNWS-000285,2341,184.54999999999998,1.32
2020-NVLINX-040081,2351,68.56,1.32
2020-UTRID-200272,2367,63.28,2.64
2020-AZSCA-002036,2370,147.64,0.0
2020-AZSCA-002640,2372,137.1,0.0
2020-IDTFD-000235,2374,147.65,0.66
2020-AZSCA-002503,2381,137.1,0.0
2020-NVCCD-030496,2385,147.65,3.9600000000000004
2020-AZPNF-001532,2392,174.03000000000003,0.0
2020-CASTF-001664,2394,200.39,6.59
2020-UTBRS-000199,2398,221.48000000000002,1.98
2020-COARF-000253,2400,263.66,11.22
2020-AZSCA-002419,2402,137.1,0.0
2020-NMSNF-000544,2408,79.1,1.32
2020-NVELD-040100,2421,42.17999999999999,1.32
2020-AZPMA-000387,2425,189.85,0.0
2020-AZPNF-001758,2430,174.03000000000003,0.0
2020-AZCOF-001483,2437,158.19000000000003,0.66
2020-COSJD-000542,2439,110.72999999999999,3.3000000000000003
2020-CANOD-003966,2444,163.47,2.64
2020-NMNPA-000543,2462,94.90999999999998,0.66
2020-UTBRS-000472,2470,221.47,4.62
2020-CAMDF-000334,2475,406.06,7.26
2020-CALMU-003874,2480,163.47,2.64
2020-CAPNF-001331,2486,216.21000000000004,3.96
2020-AZA5S-000300,2493,284.76,0.0
2020-AZGLP-000065,2502,89.64,1.32
2020-CABDF-007835,2506,242.58,0.0
2020-UTNWS-000415,2513,184.57000000000002,2.64
2020-AZPHD-001136,2518,168.75,0.0
2020-WYRAD-200527,2528,89.64999999999999,3.3
2020-NVHTF-030209,2539,158.21,6.6000000000000005
2020-AZA3S-000539,2546,195.10999999999999,0.0
2020-AZTNF-001256,2550,268.94,0.0
2020-UTMOD-000212,2560,63.28999999999999,0.66
2020-AZPMA-001146,2563,200.38,0.0
2020-AZSCA-002332,2570,137.1,0.0
2020-AZSCA-002197,2576,142.38,0.0
2020-NMCIF-000303,2588,158.2,0.0
2021-AZSCA-000046,2595,79.09,0.68
2020-WYSWX-200271,2601,47.459999999999994,2.64
2020-UTSCS-200117,2604,79.1,2.64
2020-AZPNF-001279,2611,168.75,0.0
2020-AZCOF-001251,2612,205.66000000000003,0.0
2020-AZA4S-001132,2626,105.46,0.0
2020-COGRD-000260,2627,89.64,1.32
2020-AZA3S-001243,2628,73.82,0.0
2021-AZSCA-000298,2632,68.53999999999999,0.68
2020-AZGID-000435,2639,131.82999999999998,0.0
2020-AZPNF-001665,2642,174.03000000000003,0.0
2020-UTHIAQ-000552,2646,84.36999999999999,1.32
2020-COGRD-000230,2657,94.90999999999998,0.66
2020-CATNF-000141,2674,379.68,7.92
2020-AZPHD-001780,2679,174.03000000000003,0.0
2020-AZCNF-000990,2682,26.37,0.0
2020-COSJF-000436,2686,142.39000000000001,7.92
2020-AZCOF-002033,2688,26.37,0.0
2020-AZCNF-000627,2690,110.74,0.0
2020-UTSLD-000516,2700,348.04,4.62
2020-AZA5S-000606,2703,263.65999999999997,0.66
2020-AZPHD-000756,2705,316.4,0.0
2020-AZCNF-000878,2709,63.28,0.0
2020-UTSWS-000237,2715,126.56,0.66
2020-CACDD-020390,2730,0.0,0.0
2020-AZPNF-002418,2735,42.17999999999999,0.0
2020-AZTNF-002852,2753,110.74,0.0
2020-CASHF-001270,2757,216.2,1.32
2021-AZSCA-000095,2759,79.09,0.68
2020-UTCCD-000741,2762,94.92,0.0
2020-COSJF-001022,2772,105.47,1.98
2020-AZA5S-001636,2773,147.65,0.0
2020-CALNU-013407,2776,105.47,0.0
2020-CASTF-000005,2783,184.57,2.64
2020-NVCLRX-501582,2790,79.1,0.0
2020-AZFTA-000680,2796,158.19,0.66
2020-AZKNF-000535,2807,84.38,0.66
2020-AZSCA-001550,2815,184.57,0.0
2020-AZA1S-001211,2854,147.64,0.0
2020-CAOVD-001190,2856,168.76000000000002,2.64
2020-OR982S-200382,2857,131.83,0.66
2020-CAPNF-001618,2860,216.21000000000004,3.96
2020-UTSLD-000177,2861,179.3,3.3000000000000003
2020-UTBRS-000624,2868,205.67000000000002,1.32
2020-NMGNF-000422,2875,158.2,0.0
2020-AZA3S-000777,2891,116.00999999999999,0.0
2020-AZKNF-000359,2892,116.02,1.32
2020-COLSD-000239,2898,47.459999999999994,1.98
2020-AZSCA-002480,2899,137.1,0.0
2020-UTRID-200216,2903,58.010000000000005,0.66
2020-NMGNF-000281,2905,116.00999999999999,1.98
2020-AZTNF-000786,2910,316.4,0.0
2020-AZTNF-000923,2911,332.21999999999997,0.66
2020-AZTNF-000431,2912,268.94,0.0
2020-UTNWS-000934,2913,110.74000000000001,0.66
2020-AZASF-000383,2915,152.93,0.66
2020-CABDF-012355,2916,110.74,0.0
2020-UTUOA-100404,2924,68.53999999999999,2.64
2020-AZTNF-002514,2928,121.27999999999999,0.0
2020-NVDSR-500870,2931,68.55,0.0
2020-AZASF-001071,2935,52.72999999999999,0.0
2020-AZSCA-002869,2948,84.36999999999999,0.0
2020-NMN3S-000349,2952,105.46,0.0
2020-NVTMFX-030492,2954,147.65,3.9600000000000004
2020-CACDD-011339,2963,73.82,0.0
2020-UTNES-200843,2965,152.93,5.28
2020-UTBRS-000201,2966,147.64000000000001,1.98
2020-CAMDF-000500,2967,221.48000000000002,2.64
2020-AZPMA-000954,2969,189.85,0.0
2021-NMSPA-000045,2976,57.999999999999986,1.9
2021-NMN6S-000062,2987,57.999999999999986,2.57
2020-NMMEA-000569,2993,79.1,0.0
2020-AZCOF-000437,2994,348.05,0.66
