,YEAR,MO,DY,T2M,T2M_MAX,QV2M,PRECTOTCORR,WS2M,WS2M_MAX,WS10M,WS10M_MAX,GWETTOP,GWETPROF,LAT,LONG,ID
0,2020,10,17,17.35,26.91,2.62,0.0,0.63,1.15,2.08,3.2,0.27,0.47,34.39714,-110.9982,5068
0,2020,9,4,28.45,38.08,2.81,0.0,1.73,3.51,2.84,5.11,0.17,0.34,37.02613,-112.953,5069
1,2020,9,5,28.95,39.3,2.5,0.0,1.96,3.9,3.27,5.27,0.16,0.34,37.02613,-112.953,5069
2,2020,9,6,30.12,39.67,3.42,0.0,2.23,4.43,3.41,5.83,0.16,0.34,37.02613,-112.953,5069
3,2020,9,7,27.83,36.9,3.97,0.0,2.68,5.73,4.18,7.94,0.15,0.34,37.02613,-112.953,5069
4,2020,9,8,14.17,20.37,3.23,0.0,6.07,8.11,8.54,11.05,0.16,0.34,37.02613,-112.953,5069
5,2020,9,9,12.02,19.88,3.05,0.0,3.21,4.78,4.57,6.48,0.16,0.34,37.02613,-112.953,5069
0,2021,3,9,7.58,14.5,2.81,0.0,5.6,8.34,8.73,12.66,0.36,0.41,35.24244,-111.5624,5070
0,2020,8,17,26.26,35.36,8.24,0.93,0.16,0.76,2.48,4.38,0.2,0.46,40.139083,-120.9851,5071
0,2020,9,29,12.05,20.28,3.6,0.0,0.59,1.04,1.61,3.23,0.39,0.42,42.60667,-111.3568,5072
1,2020,9,30,12.25,21.01,3.48,0.0,0.58,1.26,1.74,3.45,0.38,0.42,42.60667,-111.3568,5072
0,2020,4,6,13.55,19.75,4.09,0.0,3.21,5.26,5.21,7.73,0.33,0.37,32.98613,-105.758,5073
0,2020,4,9,9.03,19.08,3.78,0.01,2.69,5.15,3.99,6.86,0.42,0.44,40.47939,-109.5866,5074
0,2020,8,22,23.92,31.83,9.4,1.01,1.11,2.12,1.94,3.53,0.34,0.38,35.50969,-111.8092,5075
1,2020,8,23,24.07,32.28,9.83,1.68,0.97,2.21,1.5,3.0,0.34,0.38,35.50969,-111.8092,5075
0,2021,1,3,6.39,14.51,2.32,0.0,1.39,2.92,2.1,3.84,0.3,0.47,33.36044,-110.4449,5076
1,2021,1,4,7.27,17.72,2.5,0.0,1.9,3.11,3.3,4.62,0.3,0.47,33.36044,-110.4449,5076
2,2021,1,5,8.44,19.23,2.38,0.0,1.77,3.23,3.13,4.73,0.3,0.47,33.36044,-110.4449,5076
3,2021,1,6,7.5,18.58,1.53,0.0,1.95,3.77,3.24,5.6,0.29,0.47,33.36044,-110.4449,5076
4,2021,1,7,9.56,19.65,1.65,0.0,1.45,2.68,2.52,3.64,0.28,0.47,33.36044,-110.4449,5076
5,2021,1,8,10.65,19.0,1.95,0.0,1.45,2.42,2.44,3.14,0.27,0.47,33.36044,-110.4449,5076
6,2021,1,9,6.5,13.4,1.83,0.0,2.14,4.98,3.34,6.84,0.27,0.47,33.36044,-110.4449,5076
7,2021,1,10,4.13,13.58,2.2,0.0,1.3,2.88,2.31,3.88,0.27,0.47,33.36044,-110.4449,5076
8,2021,1,11,4.4,13.94,2.14,0.0,1.84,4.01,3.06,5.52,0.27,0.47,33.36044,-110.4449,5076
0,2020,8,16,31.19,39.2,10.25,0.39,0.7,1.1,2.07,3.26,0.12,0.45,34.71454,-119.3693,5077
1,2020,8,17,30.37,38.66,8.73,0.01,0.62,0.98,1.65,2.58,0.12,0.45,34.71454,-119.3693,5077
0,2020,7,15,23.22,31.76,5.43,0.1,1.23,2.59,2.11,4.12,0.27,0.37,40.07427,-108.0857,5078
1,2020,7,16,22.87,31.73,6.65,0.4,1.98,4.02,3.41,6.62,0.27,0.37,40.07427,-108.0857,5078
