,YEAR,MO,DY,T2M,T2M_MAX,QV2M,PRECTOTCORR,WS2M,WS2M_MAX,WS10M,WS10M_MAX,GWETTOP,GWETPROF,LAT,LONG,ID
0,2021,8,9,24.62,32.8,4.76,0.0,2.75,5.03,4.03,6.43,0.3,0.36,37.770717,-114.196283,11925
0,2021,8,10,24.2,33.15,3.66,0.0,1.88,3.33,2.7,4.1,0.2,0.34,40.61279,-116.8458,11941
0,2021,8,11,27.3,35.5,4.03,0.0,1.77,3.1,2.51,3.84,0.12,0.33,40.66507,-118.1227,11964
0,2021,8,12,25.26,34.62,4.64,0.0,1.38,2.17,2.24,3.19,0.13,0.38,39.36385,-119.8514,11998
1,2021,8,13,26.19,34.86,5.49,0.35,0.9,1.23,1.52,2.45,0.13,0.38,39.36385,-119.8514,11998
0,2021,8,13,28.19,34.44,7.75,0.46,1.25,2.62,1.75,3.12,0.27,0.38,36.49023,-115.6258,12009
0,2021,8,13,26.56,34.22,6.96,0.01,1.07,1.88,1.63,2.34,0.31,0.36,40.6,-115.6,12030
1,2021,8,14,25.92,34.14,7.69,0.0,1.61,2.64,2.47,3.44,0.31,0.36,40.6,-115.6,12030
0,2021,8,14,27.06,35.45,7.39,0.0,1.58,2.73,2.41,3.48,0.27,0.34,40.723933,-116.082967,12045
0,2021,8,15,30.83,39.12,8.18,0.0,1.32,2.95,1.93,3.67,0.2,0.34,37.621383,-114.828917,12055
0,2021,8,15,27.44,36.05,7.57,0.0,2.16,3.68,3.23,4.7,0.29,0.35,37.9839,-114.2846,12061
0,2021,8,15,28.81,36.73,5.55,0.0,1.3,2.18,2.02,2.73,0.12,0.33,41.02716,-117.7252,12075
0,2021,8,16,26.16,34.76,6.1,0.12,1.29,2.7,2.12,3.54,0.31,0.36,37.699333,-114.056633,12088
0,2021,8,16,29.04,37.62,5.13,0.0,2.41,4.43,3.57,5.62,0.12,0.33,41.20642,-117.6817,12100
0,2021,8,17,20.77,29.43,5.68,0.77,4.64,6.87,6.44,9.38,0.3,0.35,41.95245,-115.5607,12112
0,2021,8,17,25.3,32.63,4.64,0.03,3.59,7.03,5.01,9.16,0.13,0.33,40.676389,-116.858611,12117
