fid,Reprojected
"1",474
"2",489
"3",187
"4",557
"5",462
"6",470
"7",187
"8",189
"9",582
"10",148
"11",183
"12",183
"13",163
"14",187
"15",474
"16",301
"17",55
"18",472
"19",579
"20",151
"21",155
"22",187
"23",158
"24",557
"25",472
"26",158
"27",489
"28",183
"29",44
"30",187
"31",489
"32",44
"33",557
"34",472
"35",489
"36",163
"37",556
"38",460
"39",484
"40",187
"41",315
"42",459
"43",55
"44",489
"45",183
"46",183
"47",582
"48",183
"49",47
"50",562
"51",582
"52",316
"53",557
"54",460
"55",163
"56",158
"57",158
"58",491
"59",48
"60",315
"61",427
"62",472
"63",163
"64",457
"65",187
"66",484
"67",474
"68",461
"69",472
"70",489
"71",472
"72",474
"73",149
"74",303
"75",183
"76",460
"77",476
"78",149
"79",49
"80",490
"81",489
"82",48
"83",47
"84",557
"85",472
"86",557
"87",151
"88",489
"89",582
"90",162
"91",489
"92",489
"93",557
"94",470
"95",187
"96",582
"97",474
"98",491
"99",158
"100",484
"101",457
"102",489
"103",489
"104",556
"105",183
"106",315
"107",316
"108",472
"109",582
"110",557
"111",550
"112",158
"113",278
"114",358
"115",496
"116",460
"117",582
"118",470
"119",158
"120",583
"121",155
"122",556
"123",489
"124",156
"125",488
"126",497
"127",187
"128",158
"129",556
"130",187
"131",158
"132",187
"133",163
"134",158
"135",557
"136",187
"137",358
"138",485
"139",474
"140",158
"141",158
"142",557
"143",495
"144",187
"145",183
"146",557
"147",474
"148",158
"149",141
"150",472
"151",175
"152",476
"153",316
"154",460
"155",489
"156",460
"157",187
"158",491
"159",489
"160",187
"161",162
"162",583
"163",474
"164",472
"165",460
"166",470
"167",474
"168",302
"169",497
"170",460
"171",556
"172",316
"173",317
"174",158
"175",186
"176",472
"177",49
"178",187
"179",187
"180",575
"181",187
"182",472
"183",470
"184",149
"185",444
"186",460
"187",187
"188",489
"189",149
"190",582
"191",556
"192",460
"193",491
"194",187
"195",158
"196",182
"197",460
"198",490
"199",189
"200",489
"201",158
"202",187
"203",300
"204",489
"205",489
"206",183
"207",158
"208",556
"209",158
"210",151
"211",460
"212",187
"213",187
"214",282
"215",583
"216",474
"217",148
"218",457
"219",49
"220",460
"221",49
"222",472
"223",183
"224",557
"225",158
"226",159
"227",187
"228",484
"229",187
"230",159
"231",491
"232",489
"233",316
"234",299
"235",149
"236",55
"237",158
"238",187
"239",46
"240",470
"241",163
"242",474
"243",474
"244",163
"245",302
"246",158
"247",141
"248",491
"249",158
"250",582
"251",470
"252",187
"253",187
"254",158
"255",491
"256",49
"257",470
"258",158
"259",488
"260",300
"261",158
"262",187
"263",470
"264",304
"265",158
"266",472
"267",187
"268",187
"269",185
"270",47
"271",498
"272",158
"273",182
"274",489
"275",491
"276",158
"277",484
"278",460
"279",316
"280",163
"281",158
"282",557
"283",582
"284",186
"285",158
"286",187
"287",489
"288",158
"289",489
"290",472
"291",187
"292",489
"293",490
"294",158
"295",158
"296",556
"297",460
"298",301
"299",444
"300",474
"301",556
"302",358
"303",148
"304",162
"305",56
"306",316
"307",183
"308",488
"309",470
"310",48
"311",489
"312",49
"313",557
"314",159
"315",489
"316",484
"317",187
"318",460
"319",489
"320",158
"321",443
"322",162
"323",155
"324",158
"325",137
"326",189
"327",556
"328",472
"329",186
"330",460
"331",490
"332",557
"333",582
"334",489
"335",484
"336",489
"337",158
"338",145
"339",187
"340",159
"341",158
"342",183
"343",460
"344",162
"345",358
"346",159
"347",457
"348",490
"349",579
"350",474
"351",470
"352",158
"353",158
"354",557
"355",187
"356",151
"357",158
"358",49
"359",186
"360",187
"361",48
"362",162
"363",41
"364",489
"365",489
"366",159
"367",158
"368",163
"369",557
"370",548
"371",162
"372",158
"373",556
"374",159
"375",358
"376",187
"377",358
"378",187
"379",489
"380",158
"381",582
"382",55
"383",158
"384",556
"385",187
"386",472
"387",158
"388",474
"389",158
"390",158
"391",358
"392",557
"393",474
"394",155
"395",474
"396",497
"397",472
"398",556
"399",582
"400",557
"401",149
"402",542
"403",490
"404",187
"405",163
"406",472
"407",315
"408",489
"409",158
"410",557
"411",474
"412",158
"413",556
"414",47
"415",158
"416",460
"417",582
"418",489
"419",474
"420",472
"421",474
"422",358
"423",302
"424",0
"425",491
"426",489
"427",489
"428",42
"429",470
"430",472
"431",490
"432",187
"433",149
"434",476
"435",472
"436",158
"437",460
"438",489
"439",556
"440",187
"441",488
"442",460
"443",156
"444",48
"445",557
"446",460
"447",489
"448",472
"449",472
"450",47
"451",556
"452",557
"453",162
"454",462
"455",460
"456",498
"457",158
"458",557
"459",556
"460",474
"461",162
"462",460
"463",557
"464",141
"465",474
"466",489
"467",489
"468",557
"469",183
"470",358
"471",579
"472",582
"473",187
"474",472
"475",489
"476",44
"477",148
"478",158
"479",582
"480",151
"481",557
"482",443
"483",474
"484",189
"485",49
"486",316
"487",489
"488",162
"489",187
"490",162
"491",582
"492",472
"493",472
"494",158
"495",457
"496",474
"497",46
"498",581
"499",183
"500",484
"501",175
"502",316
"503",489
"504",491
"505",582
"506",556
"507",472
"508",579
"509",489
"510",557
"511",460
"512",156
"513",141
"514",474
"515",162
"516",457
"517",444
"518",175
"519",461
"520",158
"521",148
"522",460
"523",47
"524",187
"525",158
"526",557
"527",460
"528",186
"529",477
"530",187
"531",183
"532",186
"533",457
"534",158
"535",187
"536",187
"537",470
"538",484
"539",491
"540",579
"541",303
"542",581
"543",49
"544",474
"545",472
"546",158
"547",163
"548",489
"549",460
"550",159
"551",301
"552",556
"553",48
"554",489
"555",46
"556",158
"557",158
"558",151
"559",155
"560",472
"561",493
"562",484
"563",462
"564",316
"565",151
"566",158
"567",472
"568",545
"569",47
"570",460
"571",162
"572",316
"573",158
"574",158
"575",148
"576",579
"577",489
"578",158
"579",187
"580",48
"581",557
"582",472
"583",472
"584",472
"585",489
"586",490
"587",49
"588",458
"589",46
"590",187
"591",302
"592",491
"593",472
"594",470
"595",556
"596",49
"597",503
"598",562
"599",158
"600",316
"601",542
"602",557
"603",474
"604",490
"605",460
"606",490
"607",557
"608",316
"609",472
"610",557
"611",158
"612",42
"613",158
"614",158
"615",316
"616",48
"617",187
"618",316
"619",462
"620",158
"621",557
"622",183
"623",472
"624",187
"625",460
"626",460
"627",158
"628",183
"629",186
"630",557
"631",158
"632",557
"633",497
"634",162
"635",39
"636",158
"637",187
"638",302
"639",148
"640",46
"641",42
"642",158
"643",155
"644",186
"645",46
"646",151
"647",489
"648",583
"649",557
"650",189
"651",497
"652",155
"653",183
"654",472
"655",46
"656",489
"657",489
"658",158
"659",182
"660",557
"661",491
"662",302
"663",158
"664",472
"665",460
"666",189
"667",183
"668",556
"669",48
"670",490
"671",557
"672",489
"673",158
"674",183
"675",48
"676",557
"677",489
"678",187
"679",474
"680",529
"681",557
"682",461
"683",162
"684",489
"685",579
"686",489
"687",556
"688",557
"689",187
"690",48
"691",183
"692",474
"693",461
"694",556
"695",460
"696",582
"697",489
"698",580
"699",474
"700",474
"701",163
"702",477
"703",158
"704",163
"705",187
"706",474
"707",158
"708",187
"709",489
"710",187
"711",158
"712",556
"713",158
"714",158
"715",474
"716",557
"717",489
"718",474
"719",472
"720",474
"721",474
"722",472
"723",582
"724",484
"725",491
"726",583
"727",556
"728",159
"729",48
"730",47
"731",582
"732",557
"733",304
"734",472
"735",496
"736",496
"737",458
"738",158
"739",488
"740",187
"741",484
"742",158
"743",557
"744",174
"745",162
"746",460
"747",158
"748",151
"749",
"750",557
"751",489
"752",187
"753",498
"754",189
"755",159
"756",474
"757",158
"758",158
"759",49
"760",301
"761",187
"762",472
"763",155
"764",474
"765",489
"766",187
"767",158
"768",557
"769",488
"770",472
"771",490
"772",158
"773",489
"774",489
"775",484
"776",302
"777",557
"778",472
"779",460
"780",557
"781",316
"782",187
"783",550
"784",316
"785",472
"786",46
"787",358
"788",183
"789",187
"790",472
"791",155
"792",557
"793",488
"794",47
"795",187
"796",489
"797",484
"798",444
"799",158
"800",141
"801",162
"802",145
"803",491
"804",187
"805",556
"806",159
"807",187
"808",189
"809",488
"810",148
"811",439
"812",316
"813",550
"814",187
"815",186
"816",556
"817",187
"818",472
"819",158
"820",302
"821",474
"822",557
"823",44
"824",158
"825",457
"826",148
"827",187
"828",489
"829",316
"830",187
"831",48
"832",316
"833",489
"834",175
"835",557
"836",303
"837",457
"838",158
"839",474
"840",48
"841",46
"842",361
"843",476
"844",358
"845",358
"846",579
"847",571
"848",557
"849",457
"850",542
"851",470
"852",472
"853",557
"854",158
"855",556
"856",316
"857",474
"858",557
"859",474
"860",557
"861",158
"862",323
"863",187
"864",461
"865",568
"866",489
"867",484
"868",474
"869",474
"870",158
"871",484
"872",187
"873",162
"874",187
"875",575
"876",582
"877",158
"878",496
"879",187
"880",49
"881",557
"882",187
"883",186
"884",474
"885",163
"886",470
"887",187
"888",493
"889",304
"890",158
"891",582
"892",162
"893",557
"894",460
"895",489
"896",489
"897",472
"898",484
"899",155
"900",557
"901",491
"902",489
"903",158
"904",163
"905",470
"906",491
"907",579
"908",158
"909",579
"910",187
"911",44
"912",148
"913",186
"914",158
"915",557
"916",489
"917",582
"918",472
"919",460
"920",175
"921",158
"922",582
"923",189
"924",498
"925",472
"926",556
"927",155
"928",474
"929",472
"930",557
"931",542
"932",175
"933",582
"934",489
"935",474
"936",458
"937",489
"938",579
"939",474
"940",581
"941",155
"942",556
"943",148
"944",562
"945",158
"946",557
"947",55
"948",158
"949",498
"950",472
"951",474
"952",194
"953",462
"954",158
"955",460
"956",316
"957",187
"958",460
"959",556
"960",489
"961",488
"962",149
"963",489
"964",472
"965",163
"966",187
"967",470
"968",
"969",187
"970",158
"971",187
"972",489
"973",497
"974",460
"975",155
"976",49
"977",316
"978",582
"979",556
"980",489
"981",557
"982",557
"983",148
"984",158
"985",490
"986",489
"987",39
"988",159
"989",490
"990",474
"991",163
"992",582
"993",187
"994",304
"995",187
"996",46
"997",472
"998",472
"999",44
"1000",187
"1001",470
"1002",162
"1003",472
"1004",162
"1005",159
"1006",158
"1007",158
"1008",162
"1009",547
"1010",159
"1011",162
"1012",582
"1013",491
"1014",470
"1015",472
"1016",163
"1017",187
"1018",302
"1019",472
"1020",266
"1021",491
"1022",457
"1023",557
"1024",557
"1025",472
"1026",181
"1027",484
"1028",46
"1029",472
"1030",472
"1031",491
"1032",489
"1033",579
"1034",457
"1035",472
"1036",439
"1037",558
"1038",498
"1039",187
"1040",156
"1041",472
"1042",187
"1043",158
"1044",187
"1045",183
"1046",489
"1047",550
"1048",472
"1049",159
"1050",529
"1051",557
"1052",158
"1053",163
"1054",470
"1055",470
"1056",561
"1057",187
"1058",303
"1059",472
"1060",581
"1061",158
"1062",489
"1063",187
"1064",472
"1065",580
"1066",582
"1067",316
"1068",557
"1069",557
"1070",472
"1071",490
"1072",159
"1073",158
"1074",187
"1075",579
"1076",489
"1077",187
"1078",489
"1079",158
"1080",158
"1081",316
"1082",183
"1083",474
"1084",556
"1085",187
"1086",141
"1087",187
"1088",582
"1089",470
"1090",158
"1091",460
"1092",158
"1093",163
"1094",558
"1095",581
"1096",472
"1097",182
"1098",562
"1099",472
"1100",158
"1101",175
"1102",580
"1103",444
"1104",489
"1105",302
"1106",331
"1107",491
"1108",158
"1109",556
"1110",472
"1111",474
"1112",557
"1113",472
"1114",474
"1115",493
"1116",187
"1117",155
"1118",557
"1119",491
"1120",163
"1121",488
"1122",159
"1123",582
"1124",187
"1125",472
"1126",158
"1127",470
"1128",491
"1129",489
"1130",158
"1131",488
"1132",48
"1133",155
"1134",187
"1135",557
"1136",158
"1137",484
"1138",158
"1139",148
"1140",187
"1141",470
"1142",144
"1143",187
"1144",556
"1145",158
"1146",44
"1147",44
"1148",579
"1149",316
"1150",460
"1151",187
"1152",557
"1153",489
"1154",158
"1155",474
"1156",579
"1157",155
"1158",158
"1159",472
"1160",158
"1161",549
"1162",187
"1163",460
"1164",48
"1165",562
"1166",474
"1167",444
"1168",302
"1169",47
"1170",557
"1171",474
"1172",557
"1173",175
"1174",489
"1175",579
"1176",491
"1177",556
"1178",187
"1179",183
"1180",163
"1181",488
"1182",158
"1183",556
"1184",472
"1185",460
"1186",158
"1187",579
"1188",457
"1189",556
"1190",163
"1191",582
"1192",187
"1193",316
"1194",148
"1195",472
"1196",576
"1197",470
"1198",302
"1199",158
"1200",156
"1201",583
"1202",444
"1203",489
"1204",472
"1205",187
"1206",151
"1207",582
"1208",158
"1209",557
"1210",149
"1211",491
"1212",158
"1213",472
"1214",474
"1215",49
"1216",158
"1217",556
"1218",187
"1219",557
"1220",557
"1221",489
"1222",489
"1223",158
"1224",472
"1225",557
"1226",460
"1227",316
"1228",158
"1229",542
"1230",582
"1231",538
"1232",542
"1233",158
"1234",163
"1235",558
"1236",158
"1237",579
"1238",489
"1239",315
"1240",159
"1241",158
"1242",484
"1243",472
"1244",187
"1245",48
"1246",141
"1247",470
"1248",316
"1249",472
"1250",579
"1251",187
"1252",187
"1253",151
"1254",472
"1255",557
"1256",489
"1257",557
"1258",556
"1259",48
"1260",159
"1261",557
"1262",498
"1263",461
"1264",187
"1265",183
"1266",484
"1267",44
"1268",582
"1269",582
"1270",557
"1271",496
"1272",316
"1273",316
"1274",557
"1275",152
"1276",187
"1277",557
"1278",457
"1279",489
"1280",556
"1281",472
"1282",557
"1283",158
"1284",470
"1285",498
"1286",315
"1287",582
"1288",497
"1289",304
"1290",460
"1291",582
"1292",557
"1293",46
"1294",158
"1295",490
"1296",162
"1297",183
"1298",183
"1299",583
"1300",187
"1301",187
"1302",484
"1303",302
"1304",152
"1305",491
"1306",280
"1307",158
"1308",158
"1309",187
"1310",149
"1311",472
"1312",489
"1313",155
"1314",304
"1315",158
"1316",316
"1317",163
"1318",582
"1319",149
"1320",187
"1321",158
"1322",42
"1323",187
"1324",484
"1325",149
"1326",582
"1327",158
"1328",149
"1329",557
"1330",158
"1331",484
"1332",304
"1333",48
"1334",556
"1335",46
"1336",158
"1337",187
"1338",489
"1339",303
"1340",316
"1341",148
"1342",582
"1343",582
"1344",158
"1345",582
"1346",158
"1347",472
"1348",46
"1349",49
"1350",187
"1351",491
"1352",183
"1353",183
"1354",472
"1355",158
"1356",556
"1357",490
"1358",163
"1359",489
"1360",460
"1361",460
"1362",151
"1363",151
"1364",183
"1365",145
"1366",158
"1367",488
"1368",155
"1369",149
"1370",472
"1371",316
"1372",151
"1373",444
"1374",155
"1375",472
"1376",187
"1377",474
"1378",162
"1379",158
"1380",472
"1381",163
"1382",155
"1383",470
"1384",488
"1385",550
"1386",557
"1387",316
"1388",163
"1389",151
"1390",304
"1391",158
"1392",187
"1393",158
"1394",489
"1395",158
"1396",582
"1397",561
"1398",489
"1399",163
"1400",158
"1401",163
"1402",582
"1403",162
"1404",323
"1405",474
"1406",461
"1407",557
"1408",187
"1409",148
"1410",187
"1411",557
"1412",557
"1413",163
"1414",158
"1415",163
"1416",489
"1417",158
"1418",44
"1419",151
"1420",187
"1421",583
"1422",144
"1423",42
"1424",158
"1425",460
"1426",187
"1427",472
"1428",580
"1429",158
"1430",158
"1431",162
"1432",489
"1433",163
"1434",489
"1435",444
"1436",582
"1437",491
"1438",474
"1439",583
"1440",472
"1441",187
"1442",557
"1443",493
"1444",48
"1445",557
"1446",491
"1447",489
"1448",491
"1449",489
"1450",186
"1451",556
"1452",144
"1453",316
"1454",316
"1455",489
"1456",183
"1457",489
"1458",529
"1459",162
"1460",474
"1461",489
"1462",542
"1463",163
"1464",444
"1465",183
"1466",0
"1467",183
"1468",316
"1469",491
"1470",158
"1471",472
"1472",163
"1473",158
"1474",460
"1475",484
"1476",144
"1477",489
"1478",460
"1479",183
"1480",491
"1481",472
"1482",484
"1483",151
"1484",187
"1485",582
"1486",162
"1487",163
"1488",187
"1489",46
"1490",582
"1491",158
"1492",358
"1493",163
"1494",158
"1495",557
"1496",472
"1497",47
"1498",187
"1499",460
"1500",48
"1501",472
"1502",152
"1503",158
"1504",152
"1505",498
"1506",460
"1507",183
"1508",162
"1509",489
"1510",498
"1511",158
"1512",159
"1513",490
"1514",540
"1515",470
"1516",48
"1517",472
"1518",158
"1519",470
"1520",579
"1521",583
"1522",470
"1523",185
"1524",562
"1525",489
"1526",151
"1527",158
"1528",163
"1529",489
"1530",158
"1531",542
"1532",158
"1533",156
"1534",148
"1535",44
"1536",163
"1537",472
"1538",55
"1539",550
"1540",472
"1541",55
"1542",582
"1543",158
"1544",186
"1545",557
"1546",575
"1547",461
"1548",498
"1549",162
"1550",484
"1551",474
"1552",151
"1553",49
"1554",159
"1555",158
"1556",557
"1557",187
"1558",162
"1559",489
"1560",186
"1561",460
"1562",490
"1563",148
"1564",462
"1565",187
"1566",47
"1567",303
"1568",460
"1569",472
"1570",162
"1571",187
"1572",162
"1573",187
"1574",48
"1575",158
"1576",489
"1577",489
"1578",490
"1579",316
"1580",158
"1581",141
"1582",152
"1583",187
"1584",151
"1585",557
"1586",583
"1587",489
"1588",56
"1589",187
"1590",561
"1591",316
"1592",457
"1593",556
"1594",158
"1595",472
"1596",485
"1597",302
"1598",187
"1599",557
"1600",582
"1601",183
"1602",457
"1603",49
"1604",470
"1605",183
"1606",582
"1607",331
"1608",187
"1609",189
"1610",457
"1611",158
"1612",489
"1613",489
"1614",162
"1615",49
"1616",489
"1617",476
"1618",472
"1619",151
"1620",162
"1621",460
"1622",49
"1623",158
"1624",316
"1625",162
"1626",557
"1627",183
"1628",582
"1629",158
"1630",472
"1631",583
"1632",489
"1633",47
"1634",187
"1635",582
"1636",489
"1637",489
"1638",158
"1639",302
"1640",47
"1641",187
"1642",148
"1643",316
"1644",489
"1645",148
"1646",162
"1647",183
"1648",162
"1649",49
"1650",444
"1651",183
"1652",556
"1653",187
"1654",163
"1655",579
"1656",158
"1657",460
"1658",162
"1659",489
"1660",472
"1661",557
"1662",149
"1663",489
"1664",55
"1665",444
"1666",187
"1667",476
"1668",148
"1669",148
"1670",582
"1671",557
"1672",316
"1673",55
"1674",470
"1675",183
"1676",187
"1677",443
"1678",491
"1679",163
"1680",49
"1681",47
"1682",151
"1683",474
"1684",484
"1685",189
"1686",557
"1687",460
"1688",158
"1689",489
"1690",489
"1691",49
"1692",158
"1693",48
"1694",490
"1695",498
"1696",183
"1697",488
"1698",48
"1699",549
"1700",556
"1701",557
"1702",578
"1703",470
"1704",163
"1705",158
"1706",557
"1707",581
"1708",156
"1709",583
"1710",489
"1711",158
"1712",489
"1713",472
"1714",316
"1715",187
"1716",557
"1717",159
"1718",159
"1719",472
"1720",491
"1721",188
"1722",158
"1723",470
"1724",158
"1725",302
"1726",562
"1727",162
"1728",474
"1729",484
"1730",158
"1731",187
"1732",155
"1733",141
"1734",163
"1735",158
"1736",163
"1737",474
"1738",497
"1739",474
"1740",461
