PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,ID
PRECSNO,2020,1.32,0.66,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.66,0.0,1
PRECTOTCORR_SUM,2020,52.73,21.09,26.37,10.55,21.09,26.37,0.0,0.0,5.27,0.0,31.64,21.09,216.21,1
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
PRECTOTCORR_SUM,2020,0.0,21.09,63.28,5.27,0.0,0.0,0.0,5.27,0.0,0.0,5.27,0.0,100.2,5
PRECSNO,2019,0.66,1.98,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.66,10
PRECSNO,2020,0.0,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,10
PRECTOTCORR_SUM,2019,89.65,163.48,68.55,21.09,42.19,0.0,10.55,0.0,31.64,0.0,5.27,63.28,495.7,10
PRECTOTCORR_SUM,2020,10.55,0.0,47.46,15.82,10.55,5.27,0.0,0.0,0.0,0.0,36.91,26.37,152.93,10
PRECSNO,2020,3.3,0.0,5.27,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.66,2.64,1.32,12
PRECSNO,2021,4.53,1.48,1.98,0.2,0.02,0.0,0.0,0.0,0.0,0.99,0.09,13.09,1.89,12
PRECTOTCORR_SUM,2020,73.83,0.0,131.84,68.55,68.55,0.0,0.0,0.0,0.0,0.0,73.83,79.1,495.7,12
PRECTOTCORR_SUM,2021,131.84,68.55,79.1,9.6,7.56,2.35,3.29,0.87,14.16,287.44,51.12,340.79,996.68,12
PRECSNO,2020,2.64,0.66,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.66,15
PRECTOTCORR_SUM,2020,189.84,10.55,47.46,15.82,94.92,36.91,0.0,0.0,5.27,10.55,116.02,126.56,653.91,15
PRECSNO,2020,1.98,1.98,1.98,1.98,0.0,0.66,0.0,0.0,0.66,0.66,1.98,1.32,1.32,19
PRECTOTCORR_SUM,2020,21.09,10.55,36.91,5.27,10.55,15.82,42.19,10.55,31.64,15.82,58.01,26.37,284.77,19
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,20
PRECTOTCORR_SUM,2020,15.82,21.09,31.64,5.27,0.0,10.55,63.28,0.0,5.27,5.27,5.27,10.55,174.02,20
PRECSNO,2020,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
PRECTOTCORR_SUM,2020,5.27,42.19,73.83,10.55,5.27,0.0,15.82,10.55,5.27,5.27,10.55,5.27,189.84,22
PRECSNO,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
PRECTOTCORR_SUM,2019,31.64,31.64,10.55,5.27,0.0,0.0,10.55,0.0,52.73,0.0,63.28,21.09,226.76,24
PRECTOTCORR_SUM,2020,0.0,36.91,73.83,0.0,0.0,0.0,0.0,10.55,0.0,0.0,0.0,5.27,126.56,24
PRECSNO,2019,0.66,1.32,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.66,0.66,32
PRECSNO,2020,0.66,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,32
PRECTOTCORR_SUM,2019,21.09,42.19,21.09,47.46,84.38,10.55,0.0,5.27,47.46,5.27,10.55,21.09,316.41,32
PRECTOTCORR_SUM,2020,10.55,21.09,10.55,5.27,15.82,42.19,5.27,0.0,5.27,5.27,5.27,10.55,137.11,32
PRECSNO,2020,0.66,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.66,35
PRECTOTCORR_SUM,2020,36.91,0.0,73.83,21.09,26.37,5.27,0.0,5.27,0.0,0.0,31.64,47.46,247.85,35
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37
PRECTOTCORR_SUM,2020,5.27,36.91,100.2,15.82,0.0,0.0,10.55,10.55,0.0,0.0,5.27,5.27,189.84,37
PRECSNO,2019,1.32,3.3,2.64,0.0,0.66,0.0,0.0,0.0,0.0,0.0,1.32,1.32,0.66,44
PRECSNO,2020,0.66,0.0,1.32,1.32,0.66,0.0,0.0,0.0,0.0,0.0,0.66,0.66,0.66,44
PRECTOTCORR_SUM,2019,52.73,121.29,73.83,5.27,47.46,0.0,5.27,0.0,0.0,0.0,21.09,42.19,369.14,44
PRECTOTCORR_SUM,2020,10.55,0.0,31.64,42.19,10.55,21.09,0.0,10.55,0.0,0.0,21.09,26.37,174.02,44
PRECSNO,2019,0.66,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53
PRECTOTCORR_SUM,2019,26.37,126.56,36.91,5.27,10.55,0.0,21.09,15.82,42.19,0.0,105.47,58.01,448.24,53
PRECTOTCORR_SUM,2020,10.55,52.73,58.01,5.27,0.0,0.0,15.82,5.27,0.0,5.27,5.27,10.55,168.75,53
PRECSNO,2020,3.96,0.0,3.96,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.66,1.98,0.66,54
PRECTOTCORR_SUM,2020,94.92,0.0,110.74,47.46,89.65,5.27,0.0,0.0,0.0,0.0,63.28,84.38,495.7,54
PRECSNO,2020,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58
PRECSNO,2021,0.36,0.97,0.11,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.1,0.14,58
PRECTOTCORR_SUM,2020,21.09,26.37,52.73,0.0,0.0,10.55,26.37,10.55,21.09,5.27,5.27,5.27,184.57,58
PRECTOTCORR_SUM,2021,5.27,10.55,5.27,24.35,14.73,90.91,88.98,111.38,24.12,7.17,3.38,14.09,400.21,58
PRECSNO,2020,0.66,0.66,0.66,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.66,0.0,60
PRECTOTCORR_SUM,2020,5.27,21.09,21.09,15.82,5.27,63.28,5.27,0.0,5.27,10.55,15.82,0.0,168.75,60
PRECSNO,2020,3.3,0.0,5.27,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.66,2.64,1.32,62
PRECTOTCORR_SUM,2020,73.83,0.0,131.84,68.55,68.55,0.0,0.0,0.0,0.0,0.0,73.83,79.1,495.7,62
PRECSNO,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71
PRECTOTCORR_SUM,2019,31.64,31.64,10.55,5.27,0.0,0.0,10.55,0.0,52.73,0.0,63.28,21.09,226.76,71
PRECTOTCORR_SUM,2020,0.0,36.91,73.83,0.0,0.0,0.0,0.0,10.55,0.0,0.0,0.0,5.27,126.56,71
PRECSNO,2019,0.66,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75
PRECTOTCORR_SUM,2019,26.37,126.56,36.91,5.27,10.55,0.0,21.09,15.82,42.19,0.0,105.47,58.01,448.24,75
PRECTOTCORR_SUM,2020,10.55,52.73,58.01,5.27,0.0,0.0,15.82,5.27,0.0,5.27,5.27,10.55,168.75,75
PRECSNO,2020,0.66,0.66,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,85
PRECTOTCORR_SUM,2020,21.09,21.09,31.64,10.55,10.55,42.19,5.27,0.0,0.0,5.27,15.82,21.09,184.57,85
PRECSNO,2020,1.98,1.32,0.66,0.66,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.66,0.66,87
PRECTOTCORR_SUM,2020,52.73,31.64,52.73,47.46,42.19,105.47,15.82,0.0,15.82,10.55,31.64,15.82,421.88,87
PRECSNO,2020,0.66,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,90
PRECTOTCORR_SUM,2020,31.64,10.55,15.82,5.27,31.64,15.82,0.0,5.27,5.27,0.0,31.64,21.09,174.02,90
PRECSNO,2020,0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.66,0.0,93
PRECTOTCORR_SUM,2020,0.0,15.82,52.73,21.09,0.0,0.0,0.0,5.27,0.0,0.0,5.27,0.0,100.2,93
PRECSNO,2020,0.66,0.0,1.32,0.66,0.0,0.0,0.0,0.0,0.66,0.0,0.66,0.66,0.66,101
PRECTOTCORR_SUM,2020,0.0,5.27,21.09,5.27,5.27,31.64,0.0,0.0,5.27,0.0,10.55,10.55,94.92,101
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115
PRECTOTCORR_SUM,2020,5.27,36.91,100.2,15.82,0.0,0.0,10.55,10.55,0.0,0.0,5.27,5.27,189.84,115
PRECSNO,2019,1.98,1.32,0.66,0.66,0.66,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.66,120
PRECSNO,2020,1.32,0.66,0.66,0.0,0.0,0.0,0.0,0.0,0.66,0.66,0.0,0.66,0.66,120
PRECTOTCORR_SUM,2019,15.82,26.37,36.91,21.09,26.37,15.82,21.09,10.55,15.82,5.27,31.64,21.09,247.85,120
PRECTOTCORR_SUM,2020,10.55,10.55,10.55,0.0,5.27,5.27,42.19,5.27,26.37,10.55,5.27,21.09,152.93,120
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128
PRECTOTCORR_SUM,2020,5.27,26.37,52.73,0.0,0.0,0.0,0.0,10.55,0.0,0.0,0.0,10.55,105.47,128
PRECSNO,2019,2.64,6.59,2.64,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.66,1.98,1.32,132
